"Refid","refID"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign82","CSnr_Rhinitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign83","CS_BehavioralChanges"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign84","CSnr_BehavioralChanges"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign85","CS_Shivering"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign86","CSnr_Shivering"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign87","CS_TwitchingTremors"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign88","CSnr_TwitchingTremors"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign89","CS_Erythema"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign90","CSnr_Erythema"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign91","CS_Neurological"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign92","CSnr_Neurological"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign93","CS_Hyperesthesia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign94","CSnr_Hyperesthesia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign95","CS_MuscleAtrophy"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign96","CSnr_MuscleAtrophy"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign97","CS_MucosaPaleness"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign98","CSnr_MucosaPaleness"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign99","CS_MucosaReddening"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign100","CSnr_MucosaReddening"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign101","CS_Opisthotonus"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign102","CSnr_Opisthotonus"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign103","CS_TongueEpithelialSloughing"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign104","CSnr_TongueEpithelialSloughing"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign105","CS_Colic"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign106","CSnr_Colic"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign107","CS_ScoreTypical"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign108","CSnr_ScoreTypical"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign109","CS_Lachrymation"
