"Refid","agent","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
33704,"Vesicular stomatitis virus"," Drolet BS, et al. 2009. "," B.S. Drolet, M.A. Stuart, J.D. Derner (2009).  Infection of Melanoplus sanguinipes grasshoppers following ingestion of rangeland plant species harboring vesicular stomatitis virus Applied and Environmental Microbiology, 75(10),  3029"," B.S. Drolet, M.A. Stuart, J.D. Derner","Infection of Melanoplus sanguinipes grasshoppers following ingestion of rangeland plant species harboring vesicular stomatitis virus","Knowledge of the many mechanisms of vesicular stomatitis virus (VSV) transmission is critical for understanding of the epidemiology of sporadic disease outbreaks in the western United States. Migratory grasshoppers [Melanoplus sanguinipes (Fabricius)] have been implicated as reservoirs and mechanical vectors of VSV. The grasshopper-cattle-grasshopper transmission cycle is based on the assumptions that (i) virus shed from clinically infected animals would contaminate pasture plants and remain infectious on plant surfaces and (ii) grasshoppers would become infected by eating the virus-contaminated plants. Our objectives were to determine the stability of VSV on common plant species of U.S. Northern Plains rangelands and to assess the potential of these plant species as a source of virus for grasshoppers. Fourteen plant species were exposed to VSV and assayed for infectious virus over time (0 to 24 h). The frequency of viable virus recovery at 24 h postexposure was as high as 73%. The two most common plant species in Northern Plains rangelands (western wheatgrass [Pascopyrum smithii] and needle and thread [Hesperostipa comata]) were fed to groups of grasshoppers. At 3 weeks postfeeding, the grasshopper infection rate was 44 to 50%. Exposure of VSV to a commonly used grasshopper pesticide resulted in complete viral inactivation. This is the first report demonstrating the stability of VSV on rangeland plant surfaces, and it suggests that a significant window of opportunity exists for grasshoppers to ingest VSV from contaminated plants. The use of grasshopper pesticides on pastures would decrease the incidence of a virus-amplifying mechanical vector and might also decontaminate pastures, thereby decreasing the inter- and intraherd spread of VSV. Copyright © 2009, American Society for Microbiology. All Rights Reserved.","2009"
33882,"West Nile virus"," Kreil TR, et al. 2003. "," T.R. Kreil, A. Berting, O. Kistner, J. Kindermann (2003).  West Nile virus and the safety of plasma derivatives: Verification of high safety margins, and the validity of predictions based on model virus data Transfusion, 43(8),  1023"," T.R. Kreil, A. Berting, O. Kistner, J. Kindermann","West Nile virus and the safety of plasma derivatives: Verification of high safety margins, and the validity of predictions based on model virus data","BACKGROUND: During the 2002 West Nile virus (WNV) epidemic in the US, virus transmission through solid organ transplantation and transfusion of blood components was observed. This raised concerns about the safety of plasma derivatives. To verify the safety margins of these products, which were initially shown with a panel of model viruses including some very similar to WNV, the effectiveness of the virus inactivation procedures incorporated into their manufacturing processes was reinvestigated. STUDY DESIGN AND METHODS: An infectivity assay for 1999 New York isolate of WNV was established to investigate virus inactivation steps commonly used during the manufacture of plasma derivatives, such as pasteurization for human albumin, S/D treatment for IVIG and FVIII, vapor heating for FVIII inhibitor-bypassing activity, and incubation at low pH for IVIG. RESULTS: The results show that WNV behaves exactly as had been predicted based on available data for similar model viruses; that is, it is readily inactivated by all the commonly used virus inactivation procedures tested. CONCLUSION: Our investigation verifies the safety margins of plasma derivatives against a potential transmission of WNV and that the model virus concept is valid for predicting the behavior of closely related viruses.","2003"
33885,"West Nile virus"," Mather T, et al. 2003. "," T. Mather, T. Takeda, J. Tassello, A. Ohagen, D. Serebryanik, E. Kramer, F. Brown, R. Tesh, B. Alford, J. Chapman, A. Lazo (2003).  West Nile virus in blood: Stability, distribution, and susceptibility to PEN110 inactivation Transfusion, 43(8),  1029"," T. Mather, T. Takeda, J. Tassello, A. Ohagen, D. Serebryanik, E. Kramer, F. Brown, R. Tesh, B. Alford, J. Chapman, A. Lazo","West Nile virus in blood: Stability, distribution, and susceptibility to PEN110 inactivation","BACKGROUND: The outbreak of West Nile virus (WNV) is the most recent reminder that the blood supply continues to be vulnerable to emerging and reemerging pathogens. A potentially prospective approach to reducing the risk of transfusion-transmitted infections of a known or newly emerging microbe is implementation of a broad-spectrum pathogen reduction technology. The purpose of this study was to evaluate the susceptibility of WNV to PEN110 inactivation in RBCs and to characterize the WNV interaction with blood, including the stability of WNV in RBCs stored at 1 to 6°C, its distribution and infectivity, and its ability to infect WBCs. STUDY DESIGN AND METHODS: Inactivation was performed with three WNV isolates spiked into WBC-reduced RBCs. The stability of the virus was evaluated by spiking two viral loads into RBCs followed by storing at 1 to 6°C for up to 42 days. The distribution of the virus in plasma, RBCs, and PBMCs was evaluated with whole blood from infected hamsters. Finally, in vitro propagation of WNV was evaluated with the THP-1 cell line and primary monocytes. RESULTS: The kinetics of PEN110 inactivation of WNV isolates RI-44, NJ-176, and 99-3494031 were fast and complete within 24 hours with reduction factors of 5 to 7 log plaque-forming units per mL. WNV remained infectious for up to 42 days at 1 to 6°C. The WNV titers in whole blood, plasma, RBCs, and PBMC fractions were equally distributed and ranged from 2 to 3 log tissue culture infectious dose 50 percent per mL. Productive infection of stimulated monocytes and THP-1 cells was also demonstrated. CONCLUSIONS: These studies demonstrated that PEN110 efficiently inactivated WNV in RBCs and whole blood from infected hamsters to the limit of detection. WNV survived in RBCs stored at 1 to 6°C with a gradual loss of titer but infectivity could still be observed for up to 42 days. In addition, it was observed that WNV was equally distributed in all blood fractions including PBMCs and it was possible to establish productive infection of a human monocytic cell line and stimulated human monocytes.","2003"
35791,"St. Louis encephalitis virus"," Rabey F, et al. 1969. "," F. Rabey, R.J. Janssen, L.M. Kelley (1969).  Stability of St. Louis encephalitis virus in the airborne state. Applied microbiology, 18(5),  880"," F. Rabey, R.J. Janssen, L.M. Kelley","Stability of St. Louis encephalitis virus in the airborne state.","","1969"
35799,"Semliki Forest virus"," Benbough JE. 1969. "," J.E. Benbough (1969).  The effect of relative humidity on the survival of airborne Semliki forest virus. The Journal of general virology, 4(4),  473"," J.E. Benbough","The effect of relative humidity on the survival of airborne Semliki forest virus.","","1969"
35812,"African horse sickness virus"," Ozawa Y, et al. 1968. "," Y. Ozawa, S. Bahrami (1968).  Effects of freezing on African horse-sickness virus Archiv für die gesamte Virusforschung, 25(2),  201"," Y. Ozawa, S. Bahrami","Effects of freezing on African horse-sickness virus","The infectivity of both neurotropic and viscerotropic African horsesickness virus decreased markedly when the viruses, suspended either in tissue-culture medium or phosphate buffered saline, were stored at temperatures between -20° C and -30° C. Using infectious tissue-culture fluids, the inactivation curves of the virus at -22° C and -30° C were compared. During the first 7 days' storage, 4.7 and 3.9 log units of infectivity were lost at the respective temperatures. It was established that salts such as NaCl, CaCl2 and MgCl2 contained in the solutions, were chiefly responsible for the inactivation of the virus. Without these salts, AHS virus was rather stable at -20° C. Infectivity of AHS virus was protected by adding approximately 5% lactose, sucrose, or glucose to the suspension before freezing at -20° C to -30° C. Glycerin, polyvinylpyrolidone, and a high concentration of serum also protected the virus infectivity. AHS virus was stable at -70° C even in the presence of salts. © 1968 Springer-Verlag.","1968"
36665,"Semliki Forest virus"," Welsh JK, et al. 1979. "," J.K. Welsh, M. Arsenakis, R.J. Coelen, J.T. May (1979).  Effect of antiviral lipids, heat, and freezing on the activity of viruses in human milk Journal of Infectious Diseases, 140(3),  322"," J.K. Welsh, M. Arsenakis, R.J. Coelen, J.T. May","Effect of antiviral lipids, heat, and freezing on the activity of viruses in human milk","Semliki Forest virus (SFV), herpes simplex virus type 1 (HSV-1), coxsackievirus B4, and cytomegalovirus (CMV) were added to human milk, which was then subjected to treatments that approximated those required for the decontamination or storage of milk. Boiling was the only treatment that eliminated these viruses from the milk. Pasteurization (at 62.5 C for 30 min) did destroy CMV, but the other viruses could still be detected. All of the viruses except HSV-1 were detectable after the contaminated milk samples had been stored at -15 C for 10 days. SFV, HSV-1, and CMV were also decreased by lipid antiviral activity, which was present in 78% of samples that were obtained on day 5 postpartum. Naturally excreted CMV was detected at the highest levels in milk that lacked this antiviral factor; this CMV also survived freezing for 10 days. Thus, whereas the lipid antiviral activity decreased the level of enveloped viruses, whether they were added to or naturally excreted into human milk, further reduction in the levels of these viruses required heat treatment. © 1979 by The University of Chicago.","1979"
36828,"Semliki Forest virus"," De Jong JC, et al. 1976. "," J.C. De Jong, M. Harmsen, A.D. Plantinga, T. Trouwborst (1976).  Inactivation of Semliki forest virus in aerosols Applied and Environmental Microbiology, 32(3),  315"," J.C. De Jong, M. Harmsen, A.D. Plantinga, T. Trouwborst","Inactivation of Semliki forest virus in aerosols","Purified Semliki forest virus in aerosols is inactivated rapidly at 40% and above 70% relative humidity. At all humidities tested the decay of virus infectivity runs parallel with the decrease in hemagglutination activity, whereas the biological integrity of the virus ribonucleic acid is preserved. Also, free infectious ribonucleic acid is stable after spraying at all relative humidities. Evidence is presented for the hypothesis that above 20% relative humidity, virus inactivation in aerosols is mainly due to surface dependent factors, damaging the virus coat.","1976"
36834,"Semliki Forest virus"," Cox CS. 1976. "," C.S. Cox (1976).  Inactivation kinetics of some microorganisms subjected to a variety of stresses Applied and Environmental Microbiology, 31(6),  836"," C.S. Cox","Inactivation kinetics of some microorganisms subjected to a variety of stresses","Loss of viability in aerosols of Escherichia coli B, E. coli commune, E. coli Jepp (in nitrogen atmospheres), and Semliki forest virus (in air) was determined as a function of relative humidity at 26.5 C. The decay patterns could be accounted for accurately by means of an equation derived from a postulated mechanism involving population distributions and first order denaturation kinetics. Analyses of published curves describing loss of viability (all of which were semiexponential, ie., J shaped) for various microorganisms stressed by different techniques showed that the proposed mechanism also provided an explanation for effects of the following factors (in the absence of open air, oxygen, or radiation): influence of relative humidity upon aerosol survival; dissemination of aerosols from the wet and dry states; protecting additives; relative humidity change before reconstitution; reconstituting fluids; water content of freeze dried product; storage gas; and storage temperature. The data indicate that low temperatures and high pressures were likely to be conducive to the preservation of viable bacteria and viruses, provided that cold shock and decompression shock were absent.","1976"
37048,"Vesicular stomatitis virus"," Cliver DO. 1973. "," D.O. Cliver (1973).  Cheddar Cheese as a Vehicle for Viruses Journal of Dairy Science, 56(10),  1329"," D.O. Cliver","Cheddar Cheese as a Vehicle for Viruses","Cheddar cheese was evaluated as a vehicle for viruses. Of poliovirus type 1, 98% and essentially 100% of influenza virus type A and of vesicular stomatitis virus were lost during cheddar cheesemaking on a laboratory scale. The poliovirus was persistent in cheese during aging but was inactivated a million-fold by minimal prior heat treatment of milk for cheese. Cheddar cheese does not seem more likely than other foods to transmit viruses. © 1973, American Dairy Science Association. All rights reserved.","1973"
37100,"Venezuelan equine encephalitis virus"," Berendt RF, et al. 1972. "," R.F. Berendt, E.L. Dorsey, H.J. Hearn (1972).  Virucidal Properties of Light and SO2 I. Effect on Aerosolized Venezuelan Equine Encephalomyelitis Virus Proceedings of the Society for Experimental Biology and Medicine, 139(1),  1"," R.F. Berendt, E.L. Dorsey, H.J. Hearn","Virucidal Properties of Light and SO2 I. Effect on Aerosolized Venezuelan Equine Encephalomyelitis Virus","A combination of 3.6 ppm of SO2 gas and 308 meal cm-2 min-1 of simulated solar radiation were highly toxic in tests employing airborne Venezuelan equine encephalomyelitis virus as a model. Under these conditions, the virus decayed more rapidly at 60% RH than at 30% RH (decay rates of 40%/min vs 25%/min, respectively). Although both pollutant and light were toxic when employed separately, the viral response to a combination of the two was much greater than the sum of the separate effects, suggesting that an interaction had occurred. Lowering the light intensity to 40 meal cm-2 min-1 produced a similar although decreased effect at 60% RH, At 30% RH, however, the SO2-light combined effect was not found; in this case, SO2 alone effected viral inactivation to a significantly greater degree than either light alone or the SO2-light combination. The data suggest that, in this case, the low intensity of light acted upon the SO2 directly, preventing it from attacking the virus. © 1972, SAGE Publications. All rights reserved.","1972"
37120,"Semliki Forest virus"," Benbough JE, et al. 1971. "," J.E. Benbough, A.M. Hood (1971).  Viricidal activity of open air Journal of Hygiene, 69(4),  619"," J.E. Benbough, A.M. Hood","Viricidal activity of open air","Airborne Semliki Forest virus and T coliphages were inactivated at a considerably enhanced rate in open air compared with enclosed air. Open air exerts its maximum sterilizing activity on viruses contained in the smallest sized particles. © 1971, Cambridge University Press. All rights reserved.","1971"
37122,"Semliki Forest virus"," Benbough JE. 1971. "," J.E. Benbough (1971).  Some factors affecting the survival of airborne viruses. The Journal of general virology, 10(3),  209"," J.E. Benbough","Some factors affecting the survival of airborne viruses.","","1971"
40000,"African swine fever virus"," Mebus CA, et al. 1993. "," C.A. Mebus, C. House, F.Ruiz Gonzalvo, J.M. Pineda, J. Tapiador, J.J. Pire, J. Bergada, R.J. Yedloutschnig, S. Sahu, V. Becerra, J.M. Sanchez-Vizcaino (1993).  Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and Iberian cured hams, shoulders and loins #journal#, 10(2),  133"," C.A. Mebus, C. House, F.Ruiz Gonzalvo, J.M. Pineda, J. Tapiador, J.J. Pire, J. Bergada, R.J. Yedloutschnig, S. Sahu, V. Becerra, J.M. Sanchez-Vizcaino","Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and Iberian cured hams, shoulders and loins","","1993"
40002,"African swine fever virus"," McKercher PD, et al. 1987. "," P.D. McKercher, R.J. Yedloutschnig, J.J. Callis, R. Murphy, G.F. Panina, A. Civardi, M. Bugnetti, E. Foni, A. Laddomada, C. Scarano, F. Scatozza (1987).  Survival of Viruses in “Prosciutto di Parma” (Parma Ham) #journal#, 20(4),  267"," P.D. McKercher, R.J. Yedloutschnig, J.J. Callis, R. Murphy, G.F. Panina, A. Civardi, M. Bugnetti, E. Foni, A. Laddomada, C. Scarano, F. Scatozza","Survival of Viruses in “Prosciutto di Parma” (Parma Ham)","","1987"
