"Refid","agent","targetSpecies","labTest","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
50729,"Peste des petit ruminants","Goat (Capra aegagrus hircus)","Virus neutralisation test (VNT)","Saliki, et al. 1993.","Saliki, J.T., Libeau, G., House, J.A., Mebus, C.A., Dubovi, E.J. (1993).  Monoclonal antibody-based blocking enzyme-linked immunosorbent assay for specific detection and titration of peste-des-petits-ruminants virus antibody in caprine and ovine sera Journal of Clinical Microbiology, 31(5),  1075","Saliki, J.T., Libeau, G., House, J.A., Mebus, C.A., Dubovi, E.J.","Monoclonal antibody-based blocking enzyme-linked immunosorbent assay for specific detection and titration of peste-des-petits-ruminants virus antibody in caprine and ovine sera","A blocking enzyme-linked immunosorbent assay (B-ELISA), using two neutralizing monoclonal antibodies (MAbs), was established and compared with the virus neutralization test (VNT) for detecting specific peste-des-petits- ruminants virus (PPRV) antibody in caprine and ovine sera. This technique was developed because VNT, the only available specific serological test for PPRV and the cross-reactive rinderpest virus (RPV), is time-consuming and unaffordable for most laboratories in regions where both peste des petits ruminants and rinderpest occur. The test depends on the blocking of the binding of the MAb to a specific epitope in the presence of positive serum. Test conditions were optimized by using peste-des-petits-ruminants and rinderpest sera that were known to be VNT positive and negative. A blocking format, in which serum is preincubated with a solid-phase PPRV antigen and then incubated with the MAb, yielded levels of sensitivity and specificity superior to those of a competitive format, in which the two reagents are added simultaneously. A threshold value of 45% inhibition, representing the mean for a negative population (n = 277) plus 2.7 standard deviations, was adopted for routine screening. A total of 605 serum samples were screened by B-ELISA and the VNT. The sensitivity and specificity of B-ELISA relative to the VNT were 90.4 and 98.9%, respectively. Of 264 field serum samples tested, 11 (4.2%) could not be assayed by the VNT because of contamination or cytotoxicity; the overall agreement quotient between results of the two tests (n = 253) was 0.91. A high correlation (r = 0.98) was observed between B- ELISA and the VNT for endpoint titration of sera (n = 57). Because B-ELISA proved to be nearly as sensitive and specific as the VNT while being simpler and more rapid, it would be an adequate substitute for the VNT for assessing herd immune status and for epidemiologic surveillance.",1993
50729,"Peste des petit ruminants","Goat (Capra aegagrus hircus)","ELISA, Blocking ELISA (B-ELISA)","Saliki, et al. 1993.","Saliki, J.T., Libeau, G., House, J.A., Mebus, C.A., Dubovi, E.J. (1993).  Monoclonal antibody-based blocking enzyme-linked immunosorbent assay for specific detection and titration of peste-des-petits-ruminants virus antibody in caprine and ovine sera Journal of Clinical Microbiology, 31(5),  1075","Saliki, J.T., Libeau, G., House, J.A., Mebus, C.A., Dubovi, E.J.","Monoclonal antibody-based blocking enzyme-linked immunosorbent assay for specific detection and titration of peste-des-petits-ruminants virus antibody in caprine and ovine sera","A blocking enzyme-linked immunosorbent assay (B-ELISA), using two neutralizing monoclonal antibodies (MAbs), was established and compared with the virus neutralization test (VNT) for detecting specific peste-des-petits- ruminants virus (PPRV) antibody in caprine and ovine sera. This technique was developed because VNT, the only available specific serological test for PPRV and the cross-reactive rinderpest virus (RPV), is time-consuming and unaffordable for most laboratories in regions where both peste des petits ruminants and rinderpest occur. The test depends on the blocking of the binding of the MAb to a specific epitope in the presence of positive serum. Test conditions were optimized by using peste-des-petits-ruminants and rinderpest sera that were known to be VNT positive and negative. A blocking format, in which serum is preincubated with a solid-phase PPRV antigen and then incubated with the MAb, yielded levels of sensitivity and specificity superior to those of a competitive format, in which the two reagents are added simultaneously. A threshold value of 45% inhibition, representing the mean for a negative population (n = 277) plus 2.7 standard deviations, was adopted for routine screening. A total of 605 serum samples were screened by B-ELISA and the VNT. The sensitivity and specificity of B-ELISA relative to the VNT were 90.4 and 98.9%, respectively. Of 264 field serum samples tested, 11 (4.2%) could not be assayed by the VNT because of contamination or cytotoxicity; the overall agreement quotient between results of the two tests (n = 253) was 0.91. A high correlation (r = 0.98) was observed between B- ELISA and the VNT for endpoint titration of sera (n = 57). Because B-ELISA proved to be nearly as sensitive and specific as the VNT while being simpler and more rapid, it would be an adequate substitute for the VNT for assessing herd immune status and for epidemiologic surveillance.",1993
50908,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Enzyme linked immunosorbent assay (ELISA)","Sitthicharoenchai, et al. 2018.","Sitthicharoenchai, P., Woonwong, Y., Poonsuk, K., Arunorat, J., Muangpaisarn, C., Samatiwat, K., Konthong, W., Sattathara, W., Thanawongnuwech, R. (2018).  Evaluation of a commercial ELISA test kit on classical swine fever antibody detection using oral fluid samples Thai Journal of Veterinary Medicine, 48(3),  463","Sitthicharoenchai, P., Woonwong, Y., Poonsuk, K., Arunorat, J., Muangpaisarn, C., Samatiwat, K., Konthong, W., Sattathara, W., Thanawongnuwech, R.","Evaluation of a commercial ELISA test kit on classical swine fever antibody detection using oral fluid samples","Classical swine fever virus (CSFV) contributes to economic loss of swine production in endemic countries. Serum neutralization and enzyme-linked immunosorbent assay (ELISA) are serological tests commonly used for monitoring CSFV antibody status with serum samples. This experiment evaluated the detection of CSFV antibody in oral fluid samples in commercial ELISA test kit by in vitro study of negative oral fluid mixed with serum of known CSFV serum neutralizing (SN) titer and in vivo oral fluid samples obtained from experimental animals. Correlations of SN titer and S/P ratio of ELISA were observed with the in vitro oral fluid samples, indicating the stability of the antibody in the oral fluid and the potential of oral fluid as an alternative specimen for CSFV diagnosis. Diagnostic sensitivity of the oral fluid detection using in vitro samples was as high as 95.83% when the ELISA procedures were modified (i.e. 12 h incubation at 4°C and addition of 100 ìl antibody conjugate). The in vivo experiment used oral fluid and blood samples obtained from 20 piglets (20 days old) which were divided into 3 experimental groups: Challenged with ALD strain, low virulence CSFV (A) (n=8); vaccinated (B) (n=8); and negative control (C) (n=4). The animals were vaccinated with CSFV LOM strain modified live vaccine at 0 day post inoculation (dpi) and re-challenged (A&B) with high virulence CSFV on 14 dpi and later euthanized at 30 dpi. Results from the in vivo oral fluid samples demonstrated low detectable antibody titers (SN titer 0-4) using neutralizing peroxidase-linked assay (NPLA) and all samples were negative to CSFV indirect ELISA performed at the optimal condition obtained from the in vitro protocol. © 2018 Chulalongkorn University Printing House. All rights reserved.",2018
50908,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","neutralizing peroxidase-linked assay (NPLA)","Sitthicharoenchai, et al. 2018.","Sitthicharoenchai, P., Woonwong, Y., Poonsuk, K., Arunorat, J., Muangpaisarn, C., Samatiwat, K., Konthong, W., Sattathara, W., Thanawongnuwech, R. (2018).  Evaluation of a commercial ELISA test kit on classical swine fever antibody detection using oral fluid samples Thai Journal of Veterinary Medicine, 48(3),  463","Sitthicharoenchai, P., Woonwong, Y., Poonsuk, K., Arunorat, J., Muangpaisarn, C., Samatiwat, K., Konthong, W., Sattathara, W., Thanawongnuwech, R.","Evaluation of a commercial ELISA test kit on classical swine fever antibody detection using oral fluid samples","Classical swine fever virus (CSFV) contributes to economic loss of swine production in endemic countries. Serum neutralization and enzyme-linked immunosorbent assay (ELISA) are serological tests commonly used for monitoring CSFV antibody status with serum samples. This experiment evaluated the detection of CSFV antibody in oral fluid samples in commercial ELISA test kit by in vitro study of negative oral fluid mixed with serum of known CSFV serum neutralizing (SN) titer and in vivo oral fluid samples obtained from experimental animals. Correlations of SN titer and S/P ratio of ELISA were observed with the in vitro oral fluid samples, indicating the stability of the antibody in the oral fluid and the potential of oral fluid as an alternative specimen for CSFV diagnosis. Diagnostic sensitivity of the oral fluid detection using in vitro samples was as high as 95.83% when the ELISA procedures were modified (i.e. 12 h incubation at 4°C and addition of 100 ìl antibody conjugate). The in vivo experiment used oral fluid and blood samples obtained from 20 piglets (20 days old) which were divided into 3 experimental groups: Challenged with ALD strain, low virulence CSFV (A) (n=8); vaccinated (B) (n=8); and negative control (C) (n=4). The animals were vaccinated with CSFV LOM strain modified live vaccine at 0 day post inoculation (dpi) and re-challenged (A&B) with high virulence CSFV on 14 dpi and later euthanized at 30 dpi. Results from the in vivo oral fluid samples demonstrated low detectable antibody titers (SN titer 0-4) using neutralizing peroxidase-linked assay (NPLA) and all samples were negative to CSFV indirect ELISA performed at the optimal condition obtained from the in vitro protocol. © 2018 Chulalongkorn University Printing House. All rights reserved.",2018
51044,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","ELISA, Blocking ELISA (B-ELISA)","Kumar, et al. 2016.","Kumar, R., Barman, N.N., Khatoon, E., Kumar, S. (2016).  Development of single dilution immunoassay to detect E2 protein specific classical swine fever virus antibody Veterinary Immunology and Immunopathology, 172(#issue#),  50","Kumar, R., Barman, N.N., Khatoon, E., Kumar, S.","Development of single dilution immunoassay to detect E2 protein specific classical swine fever virus antibody","Classical swine fever virus (CSFV) is the causative agent of a highly contagious disease in swine. The disease is endemic in different parts of the world and vaccination is the only way to protect pigs from CSFV infection. The virus surface protein E2 is the major immunogenic protein eliciting protective immunity against CSFV infection in swine. The whole virus antigen cannot differentiate CSFV from other pestiviruses as it cross reacts with border disease and bovine viral diarrhoea viruses. Commercial available ELISA is based on the whole CSFV particle and can lead to false positive results. Moreover, the available commercial ELISA is not cost effective. In the present study, a recombinant E2 protein based single serum dilution ELISA was developed which showed enhanced sensitivity, specificity and accuracy as compared to commercial CSFV detection ELISA. The recombinant E2 protein based ELISA could be an alternate to existing diagnostics against CSFV infection in pigs. © 2016 Elsevier B.V.",2016
51044,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Indirect ELISA (I-ELISA)","Kumar, et al. 2016.","Kumar, R., Barman, N.N., Khatoon, E., Kumar, S. (2016).  Development of single dilution immunoassay to detect E2 protein specific classical swine fever virus antibody Veterinary Immunology and Immunopathology, 172(#issue#),  50","Kumar, R., Barman, N.N., Khatoon, E., Kumar, S.","Development of single dilution immunoassay to detect E2 protein specific classical swine fever virus antibody","Classical swine fever virus (CSFV) is the causative agent of a highly contagious disease in swine. The disease is endemic in different parts of the world and vaccination is the only way to protect pigs from CSFV infection. The virus surface protein E2 is the major immunogenic protein eliciting protective immunity against CSFV infection in swine. The whole virus antigen cannot differentiate CSFV from other pestiviruses as it cross reacts with border disease and bovine viral diarrhoea viruses. Commercial available ELISA is based on the whole CSFV particle and can lead to false positive results. Moreover, the available commercial ELISA is not cost effective. In the present study, a recombinant E2 protein based single serum dilution ELISA was developed which showed enhanced sensitivity, specificity and accuracy as compared to commercial CSFV detection ELISA. The recombinant E2 protein based ELISA could be an alternate to existing diagnostics against CSFV infection in pigs. © 2016 Elsevier B.V.",2016
51065,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Virus neutralisation test (VNT)","Luo, et al. 2015.","Luo, Y., Li, L., Austermann-Busch, S., Dong, M., Xu, J., Shao, L., Lei, J., Li, N., He, W.-R., Zhao, B., Li, S., Li, Y., Liu, L., Becher, P., Sun, Y., Qiu, H.-J. (2015).  Enhanced expression of the Erns protein of classical swine fever virus in yeast and its application in an indirect enzyme-linked immunosorbent assay for antibody differentiation of infected from vaccinated animals Journal of Virological Methods, 222(#issue#),  22","Luo, Y., Li, L., Austermann-Busch, S., Dong, M., Xu, J., Shao, L., Lei, J., Li, N., He, W.-R., Zhao, B., Li, S., Li, Y., Liu, L., Becher, P., Sun, Y., Qiu, H.-J.","Enhanced expression of the Erns protein of classical swine fever virus in yeast and its application in an indirect enzyme-linked immunosorbent assay for antibody differentiation of infected from vaccinated animals","Classical swine fever (CSF), caused by classical swine fever virus (CSFV), is a devastating disease of swine worldwide. Although a mandatory vaccination with the modified live vaccine C-strain has been implemented in China for decades, CSF remains a serious threat to the swine industry. To facilitate the control and eradication of CSF in China, the E2-based marker vaccine rAdV-SFV-E2, an adenovirus-delivered, alphavirus replicon-vectored vaccine, has been developed. Accordingly, an accompanying discriminatory test that allows differentiating infected from vaccinated animals (DIVA) is required. Here, the enhanced expression of Erns protein of CSFV was achieved in the methyltropic yeast Pichia pastoris by codon-optimization of the Erns gene, and an indirect enzyme-linked immunosorbent assay (iELISA) based on the yeast-expressed Erns (yErns) was developed and evaluated. The optimized iELISA was able to detect CSFV-specific antibodies in the serum samples from the CSFV-infected pigs as early as 6 days post-infection, and discriminate the CSFV-infected pigs from those vaccinated with rAdV-SFV-E2. The iELISA was evaluated using a panel of swine sera, and showed comparable sensitivity (94.6%) and specificity (97.1%), and the consistence rates with the virus neutralization test were 96.8% for CSFV-infected swine sera, 83.3% for C-strain-vaccinated swine sera, and 95.0% for field swine sera. In addition, the iELISA showed higher sensitivity (90.4%) compared with PrioCHECK CSFV Erns (59.6%). Taken together, the yErns-based iELISA is specific and sensitive, representing a promising DIVA test for E2-based marker vaccines against CSF. © 2015 Elsevier B.V.",2015
51065,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Enzyme linked immunosorbent assay (ELISA)","Luo, et al. 2015.","Luo, Y., Li, L., Austermann-Busch, S., Dong, M., Xu, J., Shao, L., Lei, J., Li, N., He, W.-R., Zhao, B., Li, S., Li, Y., Liu, L., Becher, P., Sun, Y., Qiu, H.-J. (2015).  Enhanced expression of the Erns protein of classical swine fever virus in yeast and its application in an indirect enzyme-linked immunosorbent assay for antibody differentiation of infected from vaccinated animals Journal of Virological Methods, 222(#issue#),  22","Luo, Y., Li, L., Austermann-Busch, S., Dong, M., Xu, J., Shao, L., Lei, J., Li, N., He, W.-R., Zhao, B., Li, S., Li, Y., Liu, L., Becher, P., Sun, Y., Qiu, H.-J.","Enhanced expression of the Erns protein of classical swine fever virus in yeast and its application in an indirect enzyme-linked immunosorbent assay for antibody differentiation of infected from vaccinated animals","Classical swine fever (CSF), caused by classical swine fever virus (CSFV), is a devastating disease of swine worldwide. Although a mandatory vaccination with the modified live vaccine C-strain has been implemented in China for decades, CSF remains a serious threat to the swine industry. To facilitate the control and eradication of CSF in China, the E2-based marker vaccine rAdV-SFV-E2, an adenovirus-delivered, alphavirus replicon-vectored vaccine, has been developed. Accordingly, an accompanying discriminatory test that allows differentiating infected from vaccinated animals (DIVA) is required. Here, the enhanced expression of Erns protein of CSFV was achieved in the methyltropic yeast Pichia pastoris by codon-optimization of the Erns gene, and an indirect enzyme-linked immunosorbent assay (iELISA) based on the yeast-expressed Erns (yErns) was developed and evaluated. The optimized iELISA was able to detect CSFV-specific antibodies in the serum samples from the CSFV-infected pigs as early as 6 days post-infection, and discriminate the CSFV-infected pigs from those vaccinated with rAdV-SFV-E2. The iELISA was evaluated using a panel of swine sera, and showed comparable sensitivity (94.6%) and specificity (97.1%), and the consistence rates with the virus neutralization test were 96.8% for CSFV-infected swine sera, 83.3% for C-strain-vaccinated swine sera, and 95.0% for field swine sera. In addition, the iELISA showed higher sensitivity (90.4%) compared with PrioCHECK CSFV Erns (59.6%). Taken together, the yErns-based iELISA is specific and sensitive, representing a promising DIVA test for E2-based marker vaccines against CSF. © 2015 Elsevier B.V.",2015
51065,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Indirect ELISA (I-ELISA)","Luo, et al. 2015.","Luo, Y., Li, L., Austermann-Busch, S., Dong, M., Xu, J., Shao, L., Lei, J., Li, N., He, W.-R., Zhao, B., Li, S., Li, Y., Liu, L., Becher, P., Sun, Y., Qiu, H.-J. (2015).  Enhanced expression of the Erns protein of classical swine fever virus in yeast and its application in an indirect enzyme-linked immunosorbent assay for antibody differentiation of infected from vaccinated animals Journal of Virological Methods, 222(#issue#),  22","Luo, Y., Li, L., Austermann-Busch, S., Dong, M., Xu, J., Shao, L., Lei, J., Li, N., He, W.-R., Zhao, B., Li, S., Li, Y., Liu, L., Becher, P., Sun, Y., Qiu, H.-J.","Enhanced expression of the Erns protein of classical swine fever virus in yeast and its application in an indirect enzyme-linked immunosorbent assay for antibody differentiation of infected from vaccinated animals","Classical swine fever (CSF), caused by classical swine fever virus (CSFV), is a devastating disease of swine worldwide. Although a mandatory vaccination with the modified live vaccine C-strain has been implemented in China for decades, CSF remains a serious threat to the swine industry. To facilitate the control and eradication of CSF in China, the E2-based marker vaccine rAdV-SFV-E2, an adenovirus-delivered, alphavirus replicon-vectored vaccine, has been developed. Accordingly, an accompanying discriminatory test that allows differentiating infected from vaccinated animals (DIVA) is required. Here, the enhanced expression of Erns protein of CSFV was achieved in the methyltropic yeast Pichia pastoris by codon-optimization of the Erns gene, and an indirect enzyme-linked immunosorbent assay (iELISA) based on the yeast-expressed Erns (yErns) was developed and evaluated. The optimized iELISA was able to detect CSFV-specific antibodies in the serum samples from the CSFV-infected pigs as early as 6 days post-infection, and discriminate the CSFV-infected pigs from those vaccinated with rAdV-SFV-E2. The iELISA was evaluated using a panel of swine sera, and showed comparable sensitivity (94.6%) and specificity (97.1%), and the consistence rates with the virus neutralization test were 96.8% for CSFV-infected swine sera, 83.3% for C-strain-vaccinated swine sera, and 95.0% for field swine sera. In addition, the iELISA showed higher sensitivity (90.4%) compared with PrioCHECK CSFV Erns (59.6%). Taken together, the yErns-based iELISA is specific and sensitive, representing a promising DIVA test for E2-based marker vaccines against CSF. © 2015 Elsevier B.V.",2015
51072,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Virus neutralisation test (VNT)","Cheng, et al. 2015.","Cheng, T.-C., Pan, C.-H., Chen, C.-S., Chuang, K.-H., Chuang, C.-H., Huang, C.-C., Chu, Y.-Y., Yang, Y.-C., Chu, P.-Y., Kao, C.-H., Hsieh, Y.-C., Cheng, T.-L. (2015).  Direct coating of culture medium from cells secreting classical swine fever virus E2 antigen on ELISA plates for detection of E2-specific antibodies Veterinary Journal, 205(1),  107","Cheng, T.-C., Pan, C.-H., Chen, C.-S., Chuang, K.-H., Chuang, C.-H., Huang, C.-C., Chu, Y.-Y., Yang, Y.-C., Chu, P.-Y., Kao, C.-H., Hsieh, Y.-C., Cheng, T.-L.","Direct coating of culture medium from cells secreting classical swine fever virus E2 antigen on ELISA plates for detection of E2-specific antibodies","The envelope glycoprotein E2 of classical swine fever virus (CSFV) is widely used as a marker for measuring vaccine efficacy and antibody titer. The glycosylation profile of E2 may affect the immunogenicity of the vaccine and the timing of re-vaccination. In this study, a human embryonic kidney cell line was used to secrete fully-glycosylated CSFV E2, which was then coated onto ELISA plates without purification or adjustment.The resulting E2-secreting medium-direct-coating (E2-mDc) ELISA was successfully used to measure anti-E2 antibody titers in vaccinated and field pig sera samples. Compared with a virus neutralization test (as standard), the E2-mDc ELISA was found to be more accurate (90%) than a commercial CSFV antibody diagnostic kit (62%). In conclusion, the mammalian cell-secreted antigen can provide cheap, accurate and effective assays for vaccine efficacy and disease diagnoses. © 2015 Elsevier Ltd.",2015
51072,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","ELISA, Blocking ELISA (B-ELISA)","Cheng, et al. 2015.","Cheng, T.-C., Pan, C.-H., Chen, C.-S., Chuang, K.-H., Chuang, C.-H., Huang, C.-C., Chu, Y.-Y., Yang, Y.-C., Chu, P.-Y., Kao, C.-H., Hsieh, Y.-C., Cheng, T.-L. (2015).  Direct coating of culture medium from cells secreting classical swine fever virus E2 antigen on ELISA plates for detection of E2-specific antibodies Veterinary Journal, 205(1),  107","Cheng, T.-C., Pan, C.-H., Chen, C.-S., Chuang, K.-H., Chuang, C.-H., Huang, C.-C., Chu, Y.-Y., Yang, Y.-C., Chu, P.-Y., Kao, C.-H., Hsieh, Y.-C., Cheng, T.-L.","Direct coating of culture medium from cells secreting classical swine fever virus E2 antigen on ELISA plates for detection of E2-specific antibodies","The envelope glycoprotein E2 of classical swine fever virus (CSFV) is widely used as a marker for measuring vaccine efficacy and antibody titer. The glycosylation profile of E2 may affect the immunogenicity of the vaccine and the timing of re-vaccination. In this study, a human embryonic kidney cell line was used to secrete fully-glycosylated CSFV E2, which was then coated onto ELISA plates without purification or adjustment.The resulting E2-secreting medium-direct-coating (E2-mDc) ELISA was successfully used to measure anti-E2 antibody titers in vaccinated and field pig sera samples. Compared with a virus neutralization test (as standard), the E2-mDc ELISA was found to be more accurate (90%) than a commercial CSFV antibody diagnostic kit (62%). In conclusion, the mammalian cell-secreted antigen can provide cheap, accurate and effective assays for vaccine efficacy and disease diagnoses. © 2015 Elsevier Ltd.",2015
51072,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","ELISA, Competitive ELISA (C-ELISA)","Cheng, et al. 2015.","Cheng, T.-C., Pan, C.-H., Chen, C.-S., Chuang, K.-H., Chuang, C.-H., Huang, C.-C., Chu, Y.-Y., Yang, Y.-C., Chu, P.-Y., Kao, C.-H., Hsieh, Y.-C., Cheng, T.-L. (2015).  Direct coating of culture medium from cells secreting classical swine fever virus E2 antigen on ELISA plates for detection of E2-specific antibodies Veterinary Journal, 205(1),  107","Cheng, T.-C., Pan, C.-H., Chen, C.-S., Chuang, K.-H., Chuang, C.-H., Huang, C.-C., Chu, Y.-Y., Yang, Y.-C., Chu, P.-Y., Kao, C.-H., Hsieh, Y.-C., Cheng, T.-L.","Direct coating of culture medium from cells secreting classical swine fever virus E2 antigen on ELISA plates for detection of E2-specific antibodies","The envelope glycoprotein E2 of classical swine fever virus (CSFV) is widely used as a marker for measuring vaccine efficacy and antibody titer. The glycosylation profile of E2 may affect the immunogenicity of the vaccine and the timing of re-vaccination. In this study, a human embryonic kidney cell line was used to secrete fully-glycosylated CSFV E2, which was then coated onto ELISA plates without purification or adjustment.The resulting E2-secreting medium-direct-coating (E2-mDc) ELISA was successfully used to measure anti-E2 antibody titers in vaccinated and field pig sera samples. Compared with a virus neutralization test (as standard), the E2-mDc ELISA was found to be more accurate (90%) than a commercial CSFV antibody diagnostic kit (62%). In conclusion, the mammalian cell-secreted antigen can provide cheap, accurate and effective assays for vaccine efficacy and disease diagnoses. © 2015 Elsevier Ltd.",2015
51119,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","ELISA, Blocking ELISA (B-ELISA)","Cheng, et al. 2014.","Cheng, C.-Y., Wu, C.-W., Lin, G.-J., Lee, W.-C., Chien, M.-S., Huang, C. (2014).  Enhancing expression of the classical swine fever virus glycoprotein E2 in yeast and its application to a blocking ELISA Journal of Biotechnology, 174(1),  1","Cheng, C.-Y., Wu, C.-W., Lin, G.-J., Lee, W.-C., Chien, M.-S., Huang, C.","Enhancing expression of the classical swine fever virus glycoprotein E2 in yeast and its application to a blocking ELISA","Classical swine fever virus (CSFV) infection is a severe swine disease, often causing large economic losses. A Pichia pastoris yeast-expressed CSFV glycoprotein E2 (yE2) has been shown to induce a protective immune response against the virus. To improve the expression level of yE2, the first codon of E2 gene, Arg (CGG), which is the least used in P. pastoris, was optimized to the most favorite codon AGA. The yield of E2 protein was remarkably increased in the codon optimized strain (N342). Three truncated E2 subunits encoding the N-terminal 330 (N330), 301 (N301), and 190 (N190) residues, respectively, were also constructed. The immunogenicity of each recombinant E2 subunits was confirmed by immunization of pigs, and all immunized groups demonstrated high neutralizing antibody titers after boost immunization, which lasted for a long period of time. In addition, a monoclonal antibody (MAb), 1B6, specific to yE2, was generated and shown to recognize CSFV-infected cells. A panel of swine sera were tested by peroxidase-conjugated MAb 1B6-based blocking enzyme-linked immunosorbent assay (ELISA) using N330 as coated antigen, and the assay demonstrated high sensitivity and specificity. The recombinant yE2 subunits may provide potential subunit vaccine candidates and useful diagnostic reagents for CSFV with easy manipulation and low cost. © 2014 Elsevier B.V.",2014
51119,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Enzyme linked immunosorbent assay (ELISA)","Cheng, et al. 2014.","Cheng, C.-Y., Wu, C.-W., Lin, G.-J., Lee, W.-C., Chien, M.-S., Huang, C. (2014).  Enhancing expression of the classical swine fever virus glycoprotein E2 in yeast and its application to a blocking ELISA Journal of Biotechnology, 174(1),  1","Cheng, C.-Y., Wu, C.-W., Lin, G.-J., Lee, W.-C., Chien, M.-S., Huang, C.","Enhancing expression of the classical swine fever virus glycoprotein E2 in yeast and its application to a blocking ELISA","Classical swine fever virus (CSFV) infection is a severe swine disease, often causing large economic losses. A Pichia pastoris yeast-expressed CSFV glycoprotein E2 (yE2) has been shown to induce a protective immune response against the virus. To improve the expression level of yE2, the first codon of E2 gene, Arg (CGG), which is the least used in P. pastoris, was optimized to the most favorite codon AGA. The yield of E2 protein was remarkably increased in the codon optimized strain (N342). Three truncated E2 subunits encoding the N-terminal 330 (N330), 301 (N301), and 190 (N190) residues, respectively, were also constructed. The immunogenicity of each recombinant E2 subunits was confirmed by immunization of pigs, and all immunized groups demonstrated high neutralizing antibody titers after boost immunization, which lasted for a long period of time. In addition, a monoclonal antibody (MAb), 1B6, specific to yE2, was generated and shown to recognize CSFV-infected cells. A panel of swine sera were tested by peroxidase-conjugated MAb 1B6-based blocking enzyme-linked immunosorbent assay (ELISA) using N330 as coated antigen, and the assay demonstrated high sensitivity and specificity. The recombinant yE2 subunits may provide potential subunit vaccine candidates and useful diagnostic reagents for CSFV with easy manipulation and low cost. © 2014 Elsevier B.V.",2014
51130,"Classical Swine Fever","PIG - Pig (Sus scrofa domesticus) ","Virus neutralisation test (VNT)","von Rosen, et al. 2014.","von Rosen, T., Rangelova, D., Nielsen, J., Rasmussen, T.B., Uttenthal, Å. (2014).  DIVA vaccine properties of the live chimeric pestivirus strain CP7_E2gif Veterinary Microbiology, 170(3-4),  224","von Rosen, T., Rangelova, D., Nielsen, J., Rasmussen, T.B., Uttenthal, Å.","DIVA vaccine properties of the live chimeric pestivirus strain CP7_E2gif","Live modified vaccines to protect against classical swine fever virus (CSFV), based on chimeric pestiviruses, have been developed to enable serological Differentiation of Infected from Vaccinated Animals (DIVA). In this context, the chimeric virus CP7_E2gif vaccine candidate is unique as it does not include any CSFV components. In the present study, the DIVA vaccine properties of CP7_E2gif were evaluated in comparison to the conventional live attenuated Riemser C-strain vaccine. Sera and tonsil samples obtained from pigs immunised with these two vaccines were analysed. No viral RNA was found in serum after vaccination with CP7_E2gif, whereas some serum samples from C-strain vaccinated animals were positive. In both vaccinated groups, individual viral RNA-positive tonsil samples were detected in animals euthanised between 7 and 21 days post vaccination. Furthermore, serum samples from these animals, together with archival samples from pigs vaccinated with CP7_E2gif and subsequently CSFV challenged, were analysed for specific antibodies using ELISAs and for homologous neutralising antibodies. In animals vaccinated with CP7_E2gif, neutralising antibodies were detected from day 10. However, the sera remained negative for anti-CSFV E2-specific antibodies whereas pigs vaccinated with C-strain seroconverted against CSFV by 14 days after vaccination, as determined by a CSFV-E2 specific blocking ELISA. One week after subsequent CSFV challenge, a strong anti-CSFV E2 reaction was detected in CP7_E2gif vaccinated pigs and anti-Erns antibodies were detected from 10 days after infection. In conclusion, CP7_E2gif has the potential to be used as a DIVA vaccine in combination with detection of anti-CSFV E2-specific antibodies. © 2014 Elsevier B.V.",2014
