Refid;Bibliography;Author;Title;Abstract;Accession Number;Article Number;Author Address;Book Title;Custom 3;custom 7;Database;Database Provider;Date;distiller_reference_created_date;distiller_reference_upload_date;DOI;Editor;electronic resource number;End Page;EP;Epub Date;File Attachment;http;id;ISBN;ISSN;Issue;Journal;Keywords;Language;Notes;Number;Number of Pages;Pages;PMID;Publisher;Reference Type;secondary author;Series Editor;Series Title;Short Title;tertiary title;Translated Author;Translated Title;Type;Type of Work;upload id;URL;Volume;Year;User;Level;"agent
Causative agent of vector borne diseases"
430;E. M. Jeanmaire, R. Rabenarivahiny, M. Biarmann, L. Rabibisoa, F. Ravaomanana, T. Randriamparany, S. F. Andriamandimby, C. S. Diaw, P. Fenozara, S. de La Rocque and J.-M. Reynes (2011).  Prevalence of Rift Valley Fever Infection in Ruminants in Madagascar After the 2008 Outbreak Vector-Borne and Zoonotic Diseases, 11(4),  395-402;E. M. Jeanmaire, R. Rabenarivahiny, M. Biarmann, L. Rabibisoa, F. Ravaomanana, T. Randriamparany, S. F. Andriamandimby, C. S. Diaw, P. Fenozara, S. de La Rocque and J.-M. Reynes;Prevalence of Rift Valley Fever Infection in Ruminants in Madagascar After the 2008 Outbreak;A Rift Valley fever (RVF) outbreak occurred in Madagascar from January to May 2008. The objectives of this study were (1) to assess the current and past circulation of RVF virus (RVFV) in livestock in Madagascar and (2) to evaluate the extent and magnitude of the 2008 RVF outbreak in livestock. The results of a country-wide serosurvey conducted in August 2008 on small and large ruminants are reported here. The study included 3437 cattle and 989 small ruminants (227 sheep and 762 goats) sampled in 30 of the 111 Malagasy districts, selected to be representative of the different ecozones and livestock density areas. Sera of animals were tested for the detection of immunoglobulins M (IgM) and G (IgG) against RVFV using commercial enzyme-linked immunosorbent assays kits. Recent infections (presence of IgM against RVFV) were detected in only 9 cattle (0.3% [0.1-0.4]) and 33 small ruminant (3.3% [2.2-4.5]) samples. Past infections (presence of IgG and absence of IgM against RVFV) were detected in 887 cattle (25.8% [24.3-27.3]) and 244 small ruminant (24.7% [22.0-27.4]) samples. Past infections were detected in all sampled sites. All ecozones were affected. In the southern and northwestern areas, the prevalence of cattle showing evidence of past infection with RVFV increased with the age of the animals. Our results suggest that there has been country-wide circulation of RVFV in 2008 in Madagascar, including in parts of the country where no clinical illness, either in animals or in humans, was reported. The data also suggest that the southern and northwestern areas may be endemic for RVFV, and that the virus may spread when ecological conditions are favorable for its amplification.;WOS:000289461600010;;;;;;;;Apr;;;10.1089/vbz.2009.0249;;;;;;;;;;1530-3667;4;Vector-Borne and Zoonotic Diseases;;;"Times Cited: 21; Reynes, Jean-Marc/M-6108-2014
; 0
; 22";;;395-402;;;Journal Article;;;;Prevalence of Rift Valley Fever Infection in Ruminants in Madagascar After the 2008 Outbreak;;;;;;;<Go to ISI>://WOS:000289461600010;11;2011;Eliana.LIMA;3;Rift Valley fever virus
432;M. Miller, P. Buss, J. Joubert, N. Maseko, M. Hofmeyr and T. Gerdes (2011).  SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007 Journal of Zoo and Wildlife Medicine, 42(1),  29-32;M. Miller, P. Buss, J. Joubert, N. Maseko, M. Hofmeyr and T. Gerdes;SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007;National Park (KNP) during the 2007 capture season were selected for measurement of antibody levels to several different vector-borne viral agents. These infectious diseases were chosen to compare with an earlier serosurvey that had been conducted in KNP in rhinos during 1987-1997. Positive antibody titers were found against epizootic hemorrhagic disease (El-ID) of deer (8%), Bluetongue (BT) (1%), and Rift Valley fever (RVF) (49%). However, none of the 100 animals tested had detected antibody levels to African horse sickness (AHS). These values were in sharp contrast to those measured in the 1987-1997 survey ill KNP white rhinos (AHS 60%, EHD 30%, BT 37%, RVF 0%). Vector-borne viral infection prevalence in white rhinos in the same geographical location appears to vary over time and may be important for monitoring presence of pathogens in an ecosystem.;WOS:000288472400004;;;;;;;;Mar;;;;;;;;;;;;;1042-7260;1;Journal of Zoo and Wildlife Medicine;;;"Times Cited: 3; 0; 3";;;29-32;;;Journal Article;;;;SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007;;;;;;;<Go to ISI>://WOS:000288472400004;42;2011;Eliana.LIMA;3;Rift Valley fever virus
432;M. Miller, P. Buss, J. Joubert, N. Maseko, M. Hofmeyr and T. Gerdes (2011).  SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007 Journal of Zoo and Wildlife Medicine, 42(1),  29-32;M. Miller, P. Buss, J. Joubert, N. Maseko, M. Hofmeyr and T. Gerdes;SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007;National Park (KNP) during the 2007 capture season were selected for measurement of antibody levels to several different vector-borne viral agents. These infectious diseases were chosen to compare with an earlier serosurvey that had been conducted in KNP in rhinos during 1987-1997. Positive antibody titers were found against epizootic hemorrhagic disease (El-ID) of deer (8%), Bluetongue (BT) (1%), and Rift Valley fever (RVF) (49%). However, none of the 100 animals tested had detected antibody levels to African horse sickness (AHS). These values were in sharp contrast to those measured in the 1987-1997 survey ill KNP white rhinos (AHS 60%, EHD 30%, BT 37%, RVF 0%). Vector-borne viral infection prevalence in white rhinos in the same geographical location appears to vary over time and may be important for monitoring presence of pathogens in an ecosystem.;WOS:000288472400004;;;;;;;;Mar;;;;;;;;;;;;;1042-7260;1;Journal of Zoo and Wildlife Medicine;;;"Times Cited: 3; 0; 3";;;29-32;;;Journal Article;;;;SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007;;;;;;;<Go to ISI>://WOS:000288472400004;42;2011;Eliana.LIMA;3;Bluetongue virus
432;M. Miller, P. Buss, J. Joubert, N. Maseko, M. Hofmeyr and T. Gerdes (2011).  SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007 Journal of Zoo and Wildlife Medicine, 42(1),  29-32;M. Miller, P. Buss, J. Joubert, N. Maseko, M. Hofmeyr and T. Gerdes;SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007;National Park (KNP) during the 2007 capture season were selected for measurement of antibody levels to several different vector-borne viral agents. These infectious diseases were chosen to compare with an earlier serosurvey that had been conducted in KNP in rhinos during 1987-1997. Positive antibody titers were found against epizootic hemorrhagic disease (El-ID) of deer (8%), Bluetongue (BT) (1%), and Rift Valley fever (RVF) (49%). However, none of the 100 animals tested had detected antibody levels to African horse sickness (AHS). These values were in sharp contrast to those measured in the 1987-1997 survey ill KNP white rhinos (AHS 60%, EHD 30%, BT 37%, RVF 0%). Vector-borne viral infection prevalence in white rhinos in the same geographical location appears to vary over time and may be important for monitoring presence of pathogens in an ecosystem.;WOS:000288472400004;;;;;;;;Mar;;;;;;;;;;;;;1042-7260;1;Journal of Zoo and Wildlife Medicine;;;"Times Cited: 3; 0; 3";;;29-32;;;Journal Article;;;;SEROSURVEY FOR SELECTED VIRAL AGENTS IN WHITE RHINOCEROS (CERATOTHERIUM SIMUM) IN KRUGER NATIONAL PARK, 2007;;;;;;;<Go to ISI>://WOS:000288472400004;42;2011;Eliana.LIMA;3;African swine fever virus
433;E. Ayari-Fakhfakh, A. Ghram, A. Bouattour, I. Larbi, L. Gribaa-Dridi, O. Kwiatek, M. Bouloy, G. Libeau, E. Albina and C. Cetre-Sossah (2011).  First serological investigation of peste-des-petits-ruminants and Rift Valley fever in Tunisia Veterinary Journal, 187(3),  402-404;E. Ayari-Fakhfakh, A. Ghram, A. Bouattour, I. Larbi, L. Gribaa-Dridi, O. Kwiatek, M. Bouloy, G. Libeau, E. Albina and C. Cetre-Sossah;First serological investigation of peste-des-petits-ruminants and Rift Valley fever in Tunisia;This study, carried out between September 2006 and January 2007, is the first cross-sectional serological investigation of peste-des-petits-ruminants (PPR) and Rift Valley fever (RVF) in Tunisia. The objective was to assess the potential need to develop a dual, recombinant PPR-RVF vaccine and how such a vaccine might be utilised in Tunisia. An overall PPR seroprevalence of 7.45% was determined, a finding supported by the high specificity (99.4%) and sensitivity (94.5%) of the ELISA used. On assessment of the diversity and density of mosquitoes in the sampling area, four species of RVF-vectors of the genus Aedes and Culex were identified. However, no serological evidence of RVF was found despite the use of a highly sensitive ELISA (99-100%). Larger scale investigations are underway to confirm these findings and the continuation of the emergency vaccination program against these two diseases remains valid. (C) 2010 Elsevier Ltd. All rights reserved.;WOS:000288921700025;;;;;;;;Mar;;;10.1016/j.tvjl.2010.01.007;;;;;;;;;;1090-0233;3;Veterinary Journal;;;"Times Cited: 10; 1
; 10";;;402-404;;;Journal Article;;;;First serological investigation of peste-des-petits-ruminants and Rift Valley fever in Tunisia;;;;;;;<Go to ISI>://WOS:000288921700025;187;2011;Eliana.LIMA;3;Rift Valley fever virus
437;A. D. LaBeaud, L. J. Sutherland, S. Muiruri, E. M. Muchiri, L. R. Gray, P. A. Zimmerman, A. G. Hise and C. H. King (2011).  Arbovirus Prevalence in Mosquitoes, Kenya Emerging Infectious Diseases, 17(2),  233-241;A. D. LaBeaud, L. J. Sutherland, S. Muiruri, E. M. Muchiri, L. R. Gray, P. A. Zimmerman, A. G. Hise and C. H. King;Arbovirus Prevalence in Mosquitoes, Kenya;Few studies have investigated the many mosquito species that harbor arboviruses in Kenya. During the 2006-2007 Rift Valley fever outbreak in North Eastern Province, Kenya, exophilic mosquitoes were collected from homesteads within 2 affected areas: Gumarey (rural) and Sogan-Godud (urban). Mosquitoes (n = 920) were pooled by trap location and tested for Rift Valley fever virus and West Nile virus. The most common mosquitoes trapped belonged to the genus Culex (75%). Of 105 mosquito pools tested, 22% were positive for Rift Valley fever virus, 18% were positive for West Nile virus, and 3% were positive for both. Estimated mosquito minimum infection rates did not differ between locations. Our data demonstrate the local abundance of mosquitoes that could propagate arboviral infections in Kenya and the high prevalence of vector arbovirus positivity during a Rift Valley fever outbreak.;WOS:000287436400011;;;;;;;;Feb;;;10.3201/eid1702.091666;;;;;;;;;;1080-6040;2;Emerging Infectious Diseases;;;"Times Cited: 9; Hise, Amy/0000-0001-5075-5792; King, Charles/0000-0001-8349-9270
; 0
; 9";;;233-241;;;Journal Article;;;;Arbovirus Prevalence in Mosquitoes, Kenya;;;;;;;<Go to ISI>://WOS:000287436400011;17;2011;Paul.Gale;3;Rift Valley fever virus
437;A. D. LaBeaud, L. J. Sutherland, S. Muiruri, E. M. Muchiri, L. R. Gray, P. A. Zimmerman, A. G. Hise and C. H. King (2011).  Arbovirus Prevalence in Mosquitoes, Kenya Emerging Infectious Diseases, 17(2),  233-241;A. D. LaBeaud, L. J. Sutherland, S. Muiruri, E. M. Muchiri, L. R. Gray, P. A. Zimmerman, A. G. Hise and C. H. King;Arbovirus Prevalence in Mosquitoes, Kenya;Few studies have investigated the many mosquito species that harbor arboviruses in Kenya. During the 2006-2007 Rift Valley fever outbreak in North Eastern Province, Kenya, exophilic mosquitoes were collected from homesteads within 2 affected areas: Gumarey (rural) and Sogan-Godud (urban). Mosquitoes (n = 920) were pooled by trap location and tested for Rift Valley fever virus and West Nile virus. The most common mosquitoes trapped belonged to the genus Culex (75%). Of 105 mosquito pools tested, 22% were positive for Rift Valley fever virus, 18% were positive for West Nile virus, and 3% were positive for both. Estimated mosquito minimum infection rates did not differ between locations. Our data demonstrate the local abundance of mosquitoes that could propagate arboviral infections in Kenya and the high prevalence of vector arbovirus positivity during a Rift Valley fever outbreak.;WOS:000287436400011;;;;;;;;Feb;;;10.3201/eid1702.091666;;;;;;;;;;1080-6040;2;Emerging Infectious Diseases;;;"Times Cited: 9; Hise, Amy/0000-0001-5075-5792; King, Charles/0000-0001-8349-9270
; 0
; 9";;;233-241;;;Journal Article;;;;Arbovirus Prevalence in Mosquitoes, Kenya;;;;;;;<Go to ISI>://WOS:000287436400011;17;2011;Paul.Gale;3;West Nile virus
455;A. M. Mohamed, G. Hani, A. M. Ashshi, H. S. Faidah and E. I. Azhar (2011).  Serological survey of Rift Valley Fever among sacrifice animals in holy Mecca during pilgrimage season International Journal of Tropical Medicine, 6(4),  85-89;A. M. Mohamed, G. Hani, A. M. Ashshi, H. S. Faidah and E. I. Azhar;Serological survey of Rift Valley Fever among sacrifice animals in holy Mecca during pilgrimage season;The current research aimed to evaluate prevalence of RVF exposure among sacrifice animals during pilgrimage season in Saudi Arabia and to determine the vulnerability of the sacrifice herds based on its immune status. A total of 580 sacrifice animals including 120 local and 460 imported animals were randomly selected from the sacrifice herds at Al-Kaakiah slaughter houses, Mecca during the 2009 pilgrimage season. Blood samples were collected from all investigated animals for serum separation and conduction of capture and sandwich ELISA techniques for detection of anti-RVF virus IgM and IgG immunoglobulins, respectively. The study revealed an overall rate of recent RVF exposure, manifested by positive IgM sera, of 2.59% among investigated sacrifice animals (0.83% among local animals and 3.04% among imported ones). On the other hand, the overall herd rate of immunized animals based on the positive IgG cases were 47.06% (55% among local animals and 45% among imported ones). In spite of the low prevalence of recent RVF exposure among sacrifice animals, the low level of immunity among those animals increase the potential risk of eruption of another outbreak among sacrifice animals during pilgrimage with the subsequent socio-economic and public health consequences. The study clearly denotes the importance of applying an effective and controlled vaccination program for local animals and verification of the immune status of imported herds.;CABI:20113334740;;;;;;;;2011;;;;;;;;;;;;;1816-3319;4;International Journal of Tropical Medicine;;;"Times Cited: 2; 0
; 2";;;85-89;;;Journal Article;;;;Serological survey of Rift Valley Fever among sacrifice animals in holy Mecca during pilgrimage season;;;;;;;<Go to ISI>://CABI:20113334740;6;2011;Eliana.LIMA;3;Rift Valley fever virus
456;T. A. Madani, E. I. Azhar, E.-T. M. E. Abuelzein, M. Kao, H. M. S. Al-Bar, H. Abu-Araki, M. Niedrig and T. G. Ksiazek (2011).  Alkhumra (Alkhurma) virus outbreak in Najran, Saudi Arabia: Epidemiological, clinical, and Laboratory characteristics Journal of Infection, 62(1),  67-76;T. A. Madani, E. I. Azhar, E.-T. M. E. Abuelzein, M. Kao, H. M. S. Al-Bar, H. Abu-Araki, M. Niedrig and T. G. Ksiazek;Alkhumra (Alkhurma) virus outbreak in Najran, Saudi Arabia: Epidemiological, clinical, and Laboratory characteristics;"Objective: After its first appearance in Alkhumra district of Jeddah in 1994-1995, and then in Makkah in 2001-2003, the new hemorrhagic fever virus, known as Alkhumra (misnamed as Alkhurma) virus (ALKV), has subsequently been reported from Najran, in the south border of Saudi Arabia. Methods: This is a descriptive cohort study summarizing the epidemiological, clinical, and laboratory characteristics of ALKV infected patients diagnosed in Najran from 1 August 2003 through 31 December 2009. Results: A total of 148 suspected cases were reported, of which 78 (52.7%) cases were laboratory confirmed; 2 cases in 2003, 1 case in 2004, 4 cases in 2005, 1 case in 2007, 12 cases in 2008, and 58 cases in 2009. The cases were reported year round but 64.1% (50/78) of them occurred in the summer time. Twenty-five (32.1%) cases occurred as clusters in 5 families. The virus seemed to be transmitted from livestock animals to humans by direct contact with these animals and likely by mosquito bites. Ticks did not seem to be involved in the transmission of infection from animals to humans. Clinical and laboratory features included fever (100%), headache (85.9%), malaise (85.9%), arthralgia (83.3%), anorexia (82.1%), myalgia (82.1%), backache (71.8%), nausea and vomiting (71.8%), chills (60.3%), retro-orbital pain (55.1%), diarrhea (51.3%), abdominal pain (48.7%), hemorrhagic manifestations (25.6%), central nervous system manifestations (23.1%), leucopenia (87.7%), elevated liver enzymes (85.7%), prolonged partial thromboplastin time (52.6%), thrombocytopenia (46.2%), elevated creatine kinase level (45.7%), and elevated lactate dehydrogenase (25.0%). Conclusion: ALKV infection has now been recognized outside its original boundaries in Saudi Arabia which may herald its identification in other countries. (C) 2010 The British Infection Association. Published by Elsevier Ltd. All rights reserved.";WOS:000286456600010;;;;;;;;Jan;;;10.1016/j.jinf.2010.09.032;;;;;;;;;;0163-4453;1;Journal of Infection;;;"Times Cited: 24; Abu-araki, Huda/I-7113-2013
; Abu-araki, Huda/0000-0002-1130-1613
; 0
; 24";;;67-76;;;Journal Article;;;;Alkhumra (Alkhurma) virus outbreak in Najran, Saudi Arabia: Epidemiological, clinical, and Laboratory characteristics;;;;;;;<Go to ISI>://WOS:000286456600010;62;2011;Eliana.LIMA;3;Alkhurma haemorrhagic fever virus
466;L. E. Mease, R. L. Coldren, L. A. Musila, T. Prosser, F. Ogolla, V. O. Ofula, R. J. Schoepp, C. A. Rossi and N. Adungo (2011).  Seroprevalence and distribution of arboviral infections among rural Kenyan adults: a cross-sectional study Virology Journal, 8(371),  (27 July 2011)-(27 July 2011);L. E. Mease, R. L. Coldren, L. A. Musila, T. Prosser, F. Ogolla, V. O. Ofula, R. J. Schoepp, C. A. Rossi and N. Adungo;Seroprevalence and distribution of arboviral infections among rural Kenyan adults: a cross-sectional study;Background: Arthorpod-borne viruses (arboviruses) cause wide-spread morbidity in sub-Saharan Africa, but little research has documented the burden and distribution of these pathogens. Methods: Using a population-based, cross-sectional study design, we administered a detailed questionnaire and used ELISA to test the blood of 1,141 healthy Kenyan adults from three districts for the presence of anti-viral Immunoglobulin G (IgG) antibodies to the following viruses: dengue (DENV), West Nile (WNV), yellow fever (YFV), Chikungunya (CHIKV), and Rift Valley fever (RVFV). Results: Of these, 34.0% were positive for CHIKV, 14.4% were DENV positive, 9.5% were WNV positive 9.2% were YFV positive, and 0.7% were RVFV positive. In total, 46.3% had antibodies to at least one of these arboviruses. Conclusions: For all arboviruses, district of residence was strongly associated with seropositivity. Seroprevalence to YFV, DENV and WNV increased with age, while there was no correlation between age and seropositivity for CHIKV, suggesting that much of the seropositivity to CHIKV is due to sporadic epidemics. Paradoxically, literacy was associated with increased seropositivity of CHIKV and DENV.;CABI:20113274723;;;;;;;;2011;;;;;;;;;;;;;1743-422x;371;Virology Journal;;;"Times Cited: 0; 0";;;(27 July 2011)-(27 July 2011);;;Journal Article;;;;Seroprevalence and distribution of arboviral infections among rural Kenyan adults: a cross-sectional study;;;;;;;<Go to ISI>://CABI:20113274723;8;2011;sofie.dhollander;3;West Nile virus
466;L. E. Mease, R. L. Coldren, L. A. Musila, T. Prosser, F. Ogolla, V. O. Ofula, R. J. Schoepp, C. A. Rossi and N. Adungo (2011).  Seroprevalence and distribution of arboviral infections among rural Kenyan adults: a cross-sectional study Virology Journal, 8(371),  (27 July 2011)-(27 July 2011);L. E. Mease, R. L. Coldren, L. A. Musila, T. Prosser, F. Ogolla, V. O. Ofula, R. J. Schoepp, C. A. Rossi and N. Adungo;Seroprevalence and distribution of arboviral infections among rural Kenyan adults: a cross-sectional study;Background: Arthorpod-borne viruses (arboviruses) cause wide-spread morbidity in sub-Saharan Africa, but little research has documented the burden and distribution of these pathogens. Methods: Using a population-based, cross-sectional study design, we administered a detailed questionnaire and used ELISA to test the blood of 1,141 healthy Kenyan adults from three districts for the presence of anti-viral Immunoglobulin G (IgG) antibodies to the following viruses: dengue (DENV), West Nile (WNV), yellow fever (YFV), Chikungunya (CHIKV), and Rift Valley fever (RVFV). Results: Of these, 34.0% were positive for CHIKV, 14.4% were DENV positive, 9.5% were WNV positive 9.2% were YFV positive, and 0.7% were RVFV positive. In total, 46.3% had antibodies to at least one of these arboviruses. Conclusions: For all arboviruses, district of residence was strongly associated with seropositivity. Seroprevalence to YFV, DENV and WNV increased with age, while there was no correlation between age and seropositivity for CHIKV, suggesting that much of the seropositivity to CHIKV is due to sporadic epidemics. Paradoxically, literacy was associated with increased seropositivity of CHIKV and DENV.;CABI:20113274723;;;;;;;;2011;;;;;;;;;;;;;1743-422x;371;Virology Journal;;;"Times Cited: 0; 0";;;(27 July 2011)-(27 July 2011);;;Journal Article;;;;Seroprevalence and distribution of arboviral infections among rural Kenyan adults: a cross-sectional study;;;;;;;<Go to ISI>://CABI:20113274723;8;2011;sofie.dhollander;3;Rift Valley fever virus
474;V. Chevalier, A. Dupressoir, A. Tran, O. M. Diop, C. Gotteland, M. Diallo, E. Etter, M. Ndiaye, V. Grosbois, M. Dia, N. Gaidet, A. A. Sall, V. Soti and M. Niang (2010).  Environmental risk factors of West Nile virus infection of horses in the Senegal River basin Epidemiology and Infection, 138(11),  1601-1609;V. Chevalier, A. Dupressoir, A. Tran, O. M. Diop, C. Gotteland, M. Diallo, E. Etter, M. Ndiaye, V. Grosbois, M. Dia, N. Gaidet, A. A. Sall, V. Soti and M. Niang;Environmental risk factors of West Nile virus infection of horses in the Senegal River basin;"In 2005, a serological study was carried out on horses in five ecologically contrasted zones of the Senegal River basin (Senegal) to assess West Nile virus (WNV) transmission and investigate underlying environmental risk factors. In each study zone, horses were randomly selected and blood samples taken. A land-cover map of the five study areas was built using two satellite ETM+ images. Blood samples were screened by ELISA for anti-WNV IgM and IgG and positive samples were confirmed by seroneutralization. Environmental data were analysed using a principal components analysis. The overall IgG seroprevalence rate was 85% (n=367; 95% CI 0.81-0.89). The proximity to sea water, flooded banks and salted mudflats were identified as protective factors. These environmental components are unfavourable to the presence of Culex mosquitoes suggesting that in Senegal, the distribution of the vector species is more limiting for WNV transmission than for the hosts' distribution.";WOS:000282196000010;;;;;;;;Nov;;;10.1017/s095026881000035x;;;;;;;;;;0950-2688;11;Epidemiology and Infection;;;"Times Cited: 6; Gaidet, Niccolas/H-8122-2013
; 0
; 6";;;1601-1609;;;Journal Article;;;;Environmental risk factors of West Nile virus infection of horses in the Senegal River basin;;;;;;;<Go to ISI>://WOS:000282196000010;138;2010;sofie.dhollander;3;West Nile virus
490;P. M. Nguku, S. K. Sharif, D. Mutonga, S. Amwayi, J. Omolo, O. Mohammed, E. C. Farnon, L. H. Gould, E. Lederman, C. Rao, R. Sang, D. Schnabel, D. R. Feikin, A. Hightower, M. K. Njenga and R. F. Breiman (2010).  An Investigation of a Major Outbreak of Rift Valley Fever in Kenya: 2006-2007 American Journal of Tropical Medicine and Hygiene, 83(2),  5-13;P. M. Nguku, S. K. Sharif, D. Mutonga, S. Amwayi, J. Omolo, O. Mohammed, E. C. Farnon, L. H. Gould, E. Lederman, C. Rao, R. Sang, D. Schnabel, D. R. Feikin, A. Hightower, M. K. Njenga and R. F. Breiman;An Investigation of a Major Outbreak of Rift Valley Fever in Kenya: 2006-2007;"An outbreak of Rift Valley fever (RVF) occurred in Kenya during November 2006 through March 2007. We characterized the magnitude of the outbreak through disease surveillance and serosurveys, and investigated contributing factors to enhance strategies for forecasting to prevent or minimize the impact of future outbreaks. Of 700 suspected cases, 392 met probable or confirmed case definitions; demographic data were available for 340 (87%), including 90 (26.4%) deaths. Male cases were more likely to die than females, Case Fatality Rate Ratio 1.8 (95% Confidence Interval [CI] 1.3-3.8). Serosurveys suggested an attack rate up to 13% of residents in heavily affected areas. Genetic sequencing showed high homology among viruses from this and earlier RVF outbreaks. Case areas were more likely than non-case areas to have soil types that retain surface moisture. The outbreak had a devastatingly high case-fatality rate for hospitalized patients. However, there were up to 180,000 infected mildly ill or asymptomatic people within highly affected areas. Soil type data may add specificity to climate-based forecasting models for RVF.";WOS:000280694500002;;;;;;;;Aug;;;10.4269/ajtmh.2010.09-0288;;;;;;;;;;0002-9637;2;American Journal of Tropical Medicine and Hygiene;;;"Times Cited: 38; S
; 0
; 38";;;13-May;;;Journal Article;;;;An Investigation of a Major Outbreak of Rift Valley Fever in Kenya: 2006-2007;;;;;;;<Go to ISI>://WOS:000280694500002;83;2010;sofie.dhollander;3;Rift Valley fever virus
507;S. F. Andriamandimby, A. E. Randrianarivo-Solofoniaina, E. M. Jeanmaire, L. Ravololomanana, L. T. Razafimanantsoa, T. Rakotojoelinandrasana, J. Razainirina, J. Hoffmann, J.-P. Ravalohery, J.-T. Rafisandratantsoa, P. E. Rollin and J.-M. Reynes (2010).  Rift Valley Fever during Rainy Seasons, Madagascar, 2008 and 2009 Emerging Infectious Diseases, 16(6),  963-970;S. F. Andriamandimby, A. E. Randrianarivo-Solofoniaina, E. M. Jeanmaire, L. Ravololomanana, L. T. Razafimanantsoa, T. Rakotojoelinandrasana, J. Razainirina, J. Hoffmann, J.-P. Ravalohery, J.-T. Rafisandratantsoa, P. E. Rollin and J.-M. Reynes;Rift Valley Fever during Rainy Seasons, Madagascar, 2008 and 2009;During 2 successive rainy seasons, January 2008 through May 2008 and November 2008 through March 2009, Rift Valley fever virus (RVFV) caused outbreaks in Madagascar. Human and animal infections were confirmed on the northern and southern coasts and in the central highlands. Analysis of partial sequences from RVFV strains showed that all were similar to the strains circulating in Kenya during 2006-2007. A national cross-sectional serologic survey among slaughterhouse workers at high risk showed that RVFV circulation during the 2008 outbreaks included all of the Malagasy regions and that the virus has circulated in at least 92 of Madagascar's 111 districts. To better predict and respond to RVF outbreaks in Madagascar, further epidemiologic studies are needed, such as RVFV complete genome analysis, ruminant movement mapping, and surveillance implementation.;WOS:000278164000008;;;;;;;;Jun;;;10.3201/eid1606.091266;;;;;;;;;;1080-6040;6;Emerging Infectious Diseases;;;"Times Cited: 54; Reynes, Jean-Marc/M-6108-2014
; 3
; 55";;;963-970;;;Journal Article;;;;Rift Valley Fever during Rainy Seasons, Madagascar, 2008 and 2009;;;;;;;<Go to ISI>://WOS:000278164000008;16;2010;sofie.dhollander;3;Rift Valley fever virus
512;A. M. Hassanain, W. Noureldien, M. S. Karsany, E. N. S. Saeed, I. E. Aradaib and I. Adam (2010).  Rift Valley fever among febrile patients at New Halfa hospital, eastern Sudan Virology Journal, 7(#issue#),  #Pages#;A. M. Hassanain, W. Noureldien, M. S. Karsany, E. N. S. Saeed, I. E. Aradaib and I. Adam;Rift Valley fever among febrile patients at New Halfa hospital, eastern Sudan;"Background: Since the first isolation of the Rift Valley Fever virus (RVFV) in 1930s, there have been several epizootics outbreaks in the tropic mainly in Africa including Sudan. Recognition of cases and diagnosis of RVF are critical for management and control of the disease. Aims: To investigate the seroprevalence and risk factors for seropostive to RVFV IgG among febrile patients. Methods: All febrile patients presented to New Halfa hospital in eastern Sudan during September through November 2007 were investigated to identify the cause of their fever including malaria and RFV. Results: Out of 290 feverish patients presented to the hospital, malaria was diagnosis in 94 individuals. Fevers of unknown origin were diagnosed in 149 patients. Seropostive to RVFV IgG was detected by enzyme-linked immunosorbent assay in 122 (81.8%) of the sera from these 149 patients with fever of unknown origin. While socio-demographic characteristics (age, Job, education and residency) were not associated with seropostive to RVFV IgG, male (OR = 2.8, 95% CI = 1.0-7.6; P = 0.04) were at three times higher risk for seropostive to RVFV IgG. Conclusion: There was a high seropostive to RVFV IgG in this setting, more research is needed perhaps using other methods like PCR and IGM.";WOS:000278337500001;;;;;;;;13-May;;;10.1186/1743-422x-7-97;;;;;;;;;;1743-422X;;Virology Journal;;;"Times Cited: 6; 0
; 6";;;;;;Journal Article;;;;Rift Valley fever among febrile patients at New Halfa hospital, eastern Sudan;;;;;;;<Go to ISI>://WOS:000278337500001;7;2010;sofie.dhollander;3;Rift Valley fever virus
