"Refid","Bibliography","User","Ris Code","Level","DE_DACRAH_OB4_Covetlab_k","studyID
Unique ID to link all observations from the same study or experiment","sampCountry
Country where study was performed","sampY
Year the study was conducted
(-1 if not reported)","agent
Causative agent of vector borne diseases","agentSubtype
Question form DACRAH1, no need to answer","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below.","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below._comment","agentDetails
The further information given regarding the sutype type given above. ","studyTargetHOST
Species target of the study. ","studyTargetHOST
Species target of the study. _comment","studyTargetVector
Please select the specific vector, for studies which were targetted at vectors. Leave EMPTY for animal treatemtn studies, not addressing any vector.","ageMonths
Age of animals in months
(-1 if not reported)","age
Age class of animals (DACRAH 1 question, do not use)","sampStrategy
Strategy used to select sampling units for inclusion in the study","sampStrategy
Strategy used to select sampling units for inclusion in the study_comment","sampUnit
Type of unit sampled in the study and reported in sampUnitSize","sampUnit
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize
Number of units in the group (the number of units listed above (e.g. herds))","route
Method of application or treatment regime or administration method of vaccine","route
Method of application or treatment regime or administration method of vaccine_comment","intervention
Intervention or treatment","testsubstance
Insecticide or pharmaceutical substance","testsubstance2
Insecticide or pharmaceutical substance","testSubstanceCategorical","testSubstanceCategorical_comment","testSubstanceCategorical 2","Test Substance concentration/formulation IN PERCENTAGE","Test Substance 2 concentration/formulation IN PERCENTAGE","dosageFreq
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageFreq2
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageInterval
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","dosageInterval2
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","dose
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","dose2
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","doseUnits
Units of measurement for the reported parameter value","doseUnits
Units of measurement for the reported parameter value_comment","doseUnits2
Units of measurement for the reported parameter value","doseUnits2
Units of measurement for the reported parameter value_comment","SubstanceDoseComments
Add any other comments about dosage and the test substance.
Please try as much as possible to enter some quantitiative data
in the fields above (for instance the most frequent dosage regimen,
or the start regimen), and then add any additional details here.
Please also try to leave the testSubstance name as clean as possible","sampledMatrix
Tissue sampled for testing","sampledMatrix
Tissue sampled for testing_comment","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","timePoint
Indicate time point in days from the start of the study to which the following parameters (dead, clinical and tested) correspond","nAnimals
total number of animals in the group","clinical
Number of animals with clinical signs","Titres
What is the titre of neutrilising antibodies at the timepoint?","nTested
Number of samples tested","nPositive
Number of samples positive","nNegative
Number of samples negative","dead (or mortality)
Number of dead animals (if reported as percentage, please provide percentage -e.g. 20 for 20% - and change the units in the following question).","dead (or mortality) Units
Units of measurement of the reported dead/mortality","efficacy
1-RR","LCI_EF
Lower Confidence interval limit - Efficacy","UCI_EF
Upper confidence interval limit - Efficacy","Other outcomes: choose","Outcome: numerical value
 ","Outcome: units","OUTCOMESOtherComments
Please give any details that could not be reported in the format above.
Please first make sure to report as many results as possible in a quantitative format above, and leave any additional comments here.","Study design STRENGTHSAdd notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,1,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,MULTIPLE,"meglumine antimoniate SUBCUTANEOUS + allopurinol ORAL","Pharmaceutical treatment","Meglumine antimoniate plus allopurinol",,"meglumine antimoniate",,allopurinol,,,30,2190,1,1,10,,mg/kg,,mg/kg,,"Meglumine antimoniate plus allopurinol
meglumine antimoniate (100 mg/kg/per day/30 days, subcutaneous) plus allopurinol (10 mg/kg/per day/sine die; per os, PO).  After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years).","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,180,,,1.6,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,1,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,MULTIPLE,"meglumine antimoniate SUBCUTANEOUS + allopurinol ORAL","Pharmaceutical treatment","Meglumine antimoniate plus allopurinol",,"meglumine antimoniate",,allopurinol,,,30,2190,1,1,10,,mg/kg,,mg/kg,,"Meglumine antimoniate plus allopurinol
Meglumine antimoniate (100 mg/kg/per day/30 days, subcutaneous) plus allopurinol (10 mg/kg/per day/sine die; per os, PO).  After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years).","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,60,,,2.6,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,1,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,MULTIPLE,"meglumine antimoniate SUBCUTANEOUS + allopurinol ORAL","Pharmaceutical treatment","Meglumine antimoniate plus allopurinol",,"meglumine antimoniate",,allopurinol,,,30,2190,1,1,10,,mg/kg,,mg/kg,,"Meglumine antimoniate plus allopurinol
Meglumine antimoniate (100 mg/kg/per day/30 days, subcutaneous) plus allopurinol (10 mg/kg/per day/sine die; per os, PO).  After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years).","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,30,,,1.3,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,2,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,"ORAL: UNSPECIFIED",,"Pharmaceutical treatment","miltefosine plus allopurinol",,miltefosine,,allopurinol,,,30,2190,1,1,2,,mg/kg,,mg/kg,,"miltefosine plus allopurinol
miltefosine (2 mg/Kg/per day/ 30 days, PO) plus allopurinol (10 mg/kg/per day/sine die, PO). After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years)","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,1800,,,1.2,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,2,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,"ORAL: UNSPECIFIED",,"Pharmaceutical treatment","miltefosine plus allopurinol",,miltefosine,,allopurinol,,,30,2190,1,1,2,,mg/kg,,mg/kg,,"miltefosine plus allopurinol
miltefosine (2 mg/Kg/per day/ 30 days, PO) plus allopurinol (10 mg/kg/per day/sine die, PO). After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years)","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,2160,,,0.8,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,2,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,"ORAL: UNSPECIFIED",,"Pharmaceutical treatment","miltefosine plus allopurinol",,miltefosine,,allopurinol,,,30,2190,1,1,2,,mg/kg,,mg/kg,,"miltefosine plus allopurinol
miltefosine (2 mg/Kg/per day/ 30 days, PO) plus allopurinol (10 mg/kg/per day/sine die, PO). After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years)","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,1440,,,1.6,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,2,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,"ORAL: UNSPECIFIED",,"Pharmaceutical treatment","miltefosine plus allopurinol",,miltefosine,,allopurinol,,,30,2190,1,1,2,,mg/kg,,mg/kg,,"miltefosine plus allopurinol
miltefosine (2 mg/Kg/per day/ 30 days, PO) plus allopurinol (10 mg/kg/per day/sine die, PO). After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years)","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,1080,,,1.4,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,2,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,"ORAL: UNSPECIFIED",,"Pharmaceutical treatment","miltefosine plus allopurinol",,miltefosine,,allopurinol,,,30,2190,1,1,2,,mg/kg,,mg/kg,,"miltefosine plus allopurinol
miltefosine (2 mg/Kg/per day/ 30 days, PO) plus allopurinol (10 mg/kg/per day/sine die, PO). After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years)","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,840,,,1.6,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,2,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,"ORAL: UNSPECIFIED",,"Pharmaceutical treatment","miltefosine plus allopurinol",,miltefosine,,allopurinol,,,30,2190,1,1,2,,mg/kg,,mg/kg,,"miltefosine plus allopurinol
miltefosine (2 mg/Kg/per day/ 30 days, PO) plus allopurinol (10 mg/kg/per day/sine die, PO). After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years)","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,630,,,0.9,,,,,,,,,,,,,,
9034," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#",thomas.rosendal,,4,,2,Italy,,"Leishmania infantum",,,,,"Dog (Canis lupus familiaris)",,,,,"Selective (risk-based) sampling",,"animal / individual",,9,"ORAL: UNSPECIFIED",,"Pharmaceutical treatment","miltefosine plus allopurinol",,miltefosine,,allopurinol,,,30,2190,1,1,2,,mg/kg,,mg/kg,,"miltefosine plus allopurinol
miltefosine (2 mg/Kg/per day/ 30 days, PO) plus allopurinol (10 mg/kg/per day/sine die, PO). After 30 days of combined therapy, allopurinol was continued at the same dose until the end of the study period (6 years)","Blood serum (as part-nature)",,"Indirect Immunofluorescence Antibody test (IFAT)",,,Antibody,,720,,,1.3,,,,,,,,,,,,,,
