"Refid","Bibliography","User","Ris Code","Level","Pathogen survival _k","studyID
Unique ID to link all observations from the same study or experiment","studyGroupID","agent
Causative agent of vector borne diseases","agentSubtypeType
What type of further detailed information is given regarding the agent.Select here, and type below. ","agentSubtypeType
What type of further detailed information is given regarding the agent.Select here, and type below. _comment","agentDetails
strain and any other further information","agentSubtype
(question from DACRAH1, no need to answer)","studyTargetSpecies
Species used in study","studyTargetSpecies
Species used in study_comment","sampUnitSize
Number of samples tested in the study
(enter -1 if not reported, -2 if not relevant)","sampledMatrix
Matrix sampled","sampledMatrix
Matrix sampled_comment","sampled Matrix Text
matrix as given in the paper/ any further details about the sample matrix","temperature
Degrees Celcius","Further details about temperature
Describe any variations. If the temperature was not constant, explain it here, and add the MAXIMUM temperature in the temperature box.","humidity
Humidity conditions (%)","Further details about the process/methods/survival conditions
Use this box to add any further details, in particular whether a specific survival condition was evaluated, for instance composting. ","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMatText
Target of laboratory test","maxDetect
Maximum number of days post inoculation to observe pathogen, antibody or nucleic acid","Truncated
Is the value of MaxDetect truncated ? In other words: was the study finished before samples were negative. That is, is the reported  “MaxDetect” equal to the last experiment day ?","Half-life in days","LCI 95% Half-life
Value in days for the lower limite of the confidence interval for half-life","UCI 95% Half-life
Value in days for the upper limit of the confidence interval for half-life","Study design STRENGTHS
Add notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283301,"Bluetongue virus",,,,BTV1,"Sheep (Ovis aries)",,,"Lymph node",,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",1277,,,,,,
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283302,"Bluetongue virus",,,,BTV23,"Sheep (Ovis aries)",,,spleen,,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",1277,,,,,,
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283302,"Bluetongue virus",,,,BTV23,"Sheep (Ovis aries)",,,"Lymph node",,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",1277,,,,,,
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283302,"Bluetongue virus",,,,BTV23,"Sheep (Ovis aries)",,,lungs,,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",1277,,,,,,
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283303,"Bluetongue virus",,,,BTV11,"Sheep (Ovis aries)",,,"Lymph node",,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",5110,,,,,,
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283303,"Bluetongue virus",,,,BTV11,"Sheep (Ovis aries)",,,spleen,,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",5110,,,,,,
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283304,"Bluetongue virus",,,,BTV17,"Sheep (Ovis aries)",,,spleen,,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",5110,,,,,,
2833," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149",manon.swanenburg,,4,,2833,283304,"Bluetongue virus",,,,BTV17,"Sheep (Ovis aries)",,,"Lymph node",,,-70,,,,"Polymerase chain reaction (PCR)","Nucleic acid",5110,,,,,,
30328," M. Lund, V. Shearn-Bochsler, R.J. Dusek, J. Shivers, E. Hofmeister (2017).  Potential for waterborne and invertebrate transmission of West Nile virus in the Great Salt Lake, Utah Applied and Environmental Microbiology, 83(14),  #Pages#",herman.vanroermund,,4,,30328,3032801,"West Nile virus",,,"outbreak Utah (USA) Nov-Dec 2013",,"Not applicable",,-1,"Water (as part-nature)",,"water with 30-150 ppt NaCl",4,,,,"Virus Isolation (VI)",Virus,3,yes,,,,,"End of experiment is (also) 3 days"
30328," M. Lund, V. Shearn-Bochsler, R.J. Dusek, J. Shivers, E. Hofmeister (2017).  Potential for waterborne and invertebrate transmission of West Nile virus in the Great Salt Lake, Utah Applied and Environmental Microbiology, 83(14),  #Pages#",herman.vanroermund,,4,,30328,3032802,"West Nile virus",,,"outbreak Utah (USA) Nov-Dec 2013",,"Not applicable",,-1,"Water (as part-nature)",,"water deionised",4,,,,"Virus Isolation (VI)",Virus,3,yes,,,,,"End of experiment is (also) 3 days"
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042901,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,4,,,,"Virus Isolation (VI)",Virus,5,no,0.65,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042902,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,12,,,,"Virus Isolation (VI)",Virus,5,no,0.5,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042903,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,21,,,,"Virus Isolation (VI)",Virus,3,no,0.39,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042904,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,37,,,,"Virus Isolation (VI)",Virus,1,no,0.29,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042901,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,4,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",100,no,9.95,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042902,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,12,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",100,no,9.48,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042903,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,21,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",70,no,9,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042904,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,2,Faeces,,,37,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",70,no,8.25,,,"Long study period","The total number of samples collected is given, but it is not possible to determine how many samples belong to each study group (how many samples each resulted was based on)"
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042905,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Urine (as part-nature)",,,4,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",130,no,32.54,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042906,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Urine (as part-nature)",,,12,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",130,no,27.99,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042907,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Urine (as part-nature)",,,21,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",130,no,24.18,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042908,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Urine (as part-nature)",,,37,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",130,no,19.48,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042909,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Saliva / saliva swab",,"Oral fluid",4,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",35,yes,2.75,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042910,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Saliva / saliva swab",,"Oral fluid",12,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",14,no,2.72,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042911,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Saliva / saliva swab",,"Oral fluid",21,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",14,no,2.67,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042912,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,5,"Saliva / saliva swab",,"Oral fluid",37,,,,"Quantitative polymerase chain reaction (QPCR)","Nucleic acid",0,no,2.6,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042908,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,3,"Urine (as part-nature)",,,37,,,,"Virus Isolation (VI)",Virus,1,no,0.41,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042906,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,3,"Urine (as part-nature)",,,12,,,,"Virus Isolation (VI)",Virus,5,no,1.07,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042907,"African swine fever virus",strain,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,3,"Urine (as part-nature)",,,21,,,,"Virus Isolation (VI)",Virus,5,no,0.68,,,"Long study period",
30429," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425",herman.vanroermund,,4,,30429,3042905,"African swine fever virus",isolate,,"Georgia 2007/1",,"Pig (Sus scrofa domesticus) ",,3,"Urine (as part-nature)",,,4,,,,"Virus Isolation (VI)",Virus,5,no,2.19,,,"Long study period",
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109204,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,-1,"fats/oils (Animal and vegetable fats/oils)",,,23.5,,,,"Real-Time PCR (qualitative or quantitative)","Nucleic acid",28,no,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between 22-25, so 23.5 C was chosen.
Products were inoculated / spiked; not from infection experiments."
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109205,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,14,"fats/oils (Animal and vegetable fats/oils)",,,5,,,,"Haemadsorption assay (HAT test) ",Virus,0,no,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between 4-6, so 5 C was chosen.
Products were inoculated / spiked; not from infection experiments."
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109205,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,14,"fats/oils (Animal and vegetable fats/oils)",,,5,,,,"Real-Time PCR (qualitative or quantitative)","Nucleic acid",60,yes,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between 4-6, so 5 C was chosen.
Products were inoculated / spiked; not from infection experiments."
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109206,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,-1,"fats/oils (Animal and vegetable fats/oils)",,,-18,,,,"Haemadsorption assay (HAT test) ",Virus,60,yes,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between -16 and -20 C, so -18 C was chosen.
Products were inoculated / spiked; not from infection experiments."
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109206,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,-1,"fats/oils (Animal and vegetable fats/oils)",,,-18,,,,"Real-Time PCR (qualitative or quantitative)","Nucleic acid",60,yes,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between -16 and -20 C, so -18 C was chosen.
Products were inoculated / spiked; not from infection experiments."
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109209,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,-1,kidney,,,23.5,,,,"Real-Time PCR (qualitative or quantitative)","Nucleic acid",28,no,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between 22-25 C, so 23.5 C was chosen.
Products were inoculated / spiked; not from infection experiments."
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109210,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,-1,kidney,,,-18,,,,"Haemadsorption assay (HAT test) ",Virus,60,yes,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between -16 and -20 C, so -18 C was chosen.
Products were inoculated / spiked; not from infection experiments."
31092," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467",herman.vanroermund,,4,,31092,3109211,"African swine fever virus",strain,,"Volgograd-Kalach 2012",,"Pig (Sus scrofa domesticus) ",,-1,liver,,,23.5,,,,"Haemadsorption assay (HAT test) ",Virus,16,yes,,,,"Many products tested, clearly written. Study period was 60 days.","Temperature was between 22-25 C, so 23.5 C was chosen.
Products were inoculated / spiked; not from infection experiments."
