"Refid","Bibliography","User","Ris Code","Level","DE_DACRAH_OB4_Covetlab_k","studyID
Unique ID to link all observations from the same study or experiment","studyIDNumerical","sampCountry
Country where study was performed","sampY
Year the study was conducted
(-1 if not reported)","agent
Causative agent of vector borne diseases","agentSubtype
DACRAH1 - no need to answer","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below.","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below._comment","agentDetails
The further information given regarding the sutype type given above. ","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""_comment","studyTargetVector
Please select the specific vector.","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 _comment","sampUnitSize
Number of units in the group (the number of units listed above (e.g. herds))
(-1 if not reported, -2 if not relevant)","route
Method of application or treatment regime or administration method of vaccine","route
Method of application or treatment regime or administration method of vaccine_comment","intervention
Intervention or treatment","intervention
Intervention or treatment_comment","testsubstance
Insecticide or pharmaceutical substance","testsubstance2
Insecticide or pharmaceutical substance","test substance CATEGORICAL","test substance2 CATEGORICAL","formulation %
The concentration given for the preparation, if given (p.e. 5%)","formulation2 %
The concentration given for the preparation, if given (p.e. 5%)","dose
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","dose2
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","doseUnits
Units of measurement for the reported parameter value","doseUnits
Units of measurement for the reported parameter value_comment","doseUnits2
Units of measurement for the reported parameter value","doseUnits2
Units of measurement for the reported parameter value_comment","dosageFreq
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageFreq2
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageInterval
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","dosageInterval2
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","Exposure time","Exposure time units","SubstanceDoseComments
Add any other comments about dosage and the test substance.
Please try as much as possible to enter some quantitiative data
in the fields above (for instance the most frequent dosage regimen,
or the start regimen), and then add any additional details here.
Please also try to leave the testSubstance name as clean as possible","sampledMatrix
Tissue sampled for testing","sampledMatrix
Tissue sampled for testing_comment","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","timePoint
Indicate time point in days from the start of the study to which the following parameters (dead, clinical and tested) correspond","dead (or mortality)
Number of dead vectors (if reported as percentage, please provide percentage -e.g. 20 for 20% - and change the units in the following question).","dead (or mortality) Units
Units of measurement of the reported dead/mortality","mortalityLCI
Lower confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityUCI
Upper confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityTime
If provided in the paper, please report the time between application of the treatment and recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits
The units for the reported time to mortality.","efficacy
1-RR","LCI_EF
Lower Confidence interval limit - Efficacy","UCI_EF
Upper Confidence interval limit - Efficacy
 ","Outcome type","Number given
numerical part of the outcome","Units
 ","nTested
Number of samples tested","nNegative
Number of samples negative","nPositive
Number of samples positive","OUTCOMESOtherComments
Please give any details that could not be reported in the format above.
Please first make sure to report as many results as possible in a quantitative format above, and leave any additional comments here.","Study design STRENGTHSAdd notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
9123," T. Baker, S. Carpenter, S. Gubbins, R. Newton, G. lo Iacono, J. Wood, L. E. Harrup (2015).  Can insecticide-treated netting provide protection for equids from Culicoides biting midges in the United Kingdom? Parasites and Vectors, 8(#issue#),  (25 November 2015)-(25 November 2015)",tobias.lilja,,4,,,1,"United Kingdom",2014,"Not applicable (vector study)",,,,,"Horse (Equus ferus caballus)",,midges,"batch / replicate unit",,2,"Vector exposed to treated nets",,"Insecticide treatment",,"Permethrin and Pyrethrins",,permethrin,pyrethrin,,,0.15,0.2,percentage,,percentage,,1,,,,,,"Permethrin 0.15 % w/w ; Pyrethrins 0.2 % Tri-Tec 14®",,,"Not applicable",,,,,1,,,,,,,1,,,,,,,,,,,
9165," F. dos S. Alves, R. D. de Oliveira, G. R. de Aguiar, A. C. J. de Moura, F. de O. P. Leme, R. B. de Araujo, A. P. da C. Val (2015).  Antifeeding and short-term insecticidal effects against Lutzomya longipalpis in dogs treated with permethrin or deltamethrin Revista Brasileira de Ciencia Veterinaria, 22(#issue#),  71-76",tobias.lilja,,4,,,1,Brazil,2014,"Not applicable (vector study)",,,,,"Dog (Canis lupus familiaris)",,sandflies,"single VECTOR UNIT",,874,,,Control,,"No treatment",,CONTROL,,,,,,,,,,,,,,,,,,,"Not applicable",,,,,60,27,"individuals (animals or vectors)",,,,,,,,,,,,,,,,
9165," F. dos S. Alves, R. D. de Oliveira, G. R. de Aguiar, A. C. J. de Moura, F. de O. P. Leme, R. B. de Araujo, A. P. da C. Val (2015).  Antifeeding and short-term insecticidal effects against Lutzomya longipalpis in dogs treated with permethrin or deltamethrin Revista Brasileira de Ciencia Veterinaria, 22(#issue#),  71-76",tobias.lilja,,4,,,2,Brazil,2014,"Not applicable (vector study)",,,,,"Dog (Canis lupus familiaris)",,sandflies,"single VECTOR UNIT",,1496,"External use - topic/spray",,"Insecticide treatment",,Permethrin,,permethrin,,,,65,,percentage,,,,3,,30,,,,,,,"Not applicable",,,,,60,56,"individuals (animals or vectors)",,,,,,,,,,,,,,,,
9165," F. dos S. Alves, R. D. de Oliveira, G. R. de Aguiar, A. C. J. de Moura, F. de O. P. Leme, R. B. de Araujo, A. P. da C. Val (2015).  Antifeeding and short-term insecticidal effects against Lutzomya longipalpis in dogs treated with permethrin or deltamethrin Revista Brasileira de Ciencia Veterinaria, 22(#issue#),  71-76",tobias.lilja,,4,,,3,Brazil,2014,"Not applicable (vector study)",,,,,"Dog (Canis lupus familiaris)",,sandflies,"single VECTOR UNIT",,1111,"External use - collar/ear tag",,"Insecticide treatment",,Deltamethrin,,deltamethrin,,,,4,,percentage,,,,1,,,,,,,,,"Not applicable",,,,,60,18,"individuals (animals or vectors)",,,,,,,,,,,,,,,,
9354," A. H. Nicholas, B. McCorkell (2014).  Evaluation of Metarhizium anisopliae for the control of Culicoides brevitarsis Kieffer (Diptera: Ceratopogonidae), the principal vector of bluetongue virus in Australia Journal of Vector Ecology, 39(#issue#),  213-218",tobias.lilja,,4,,,1,Australia,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,220,"Vector directly exposed",,"Insecticide treatment",,"Metarhizium anisopliae",,"OTHERS - fungi",,,,0.01,,gram,,,,1,,,,192,hours,"Metarhizium anisopliae ARI-Ma01 8 days continuous exposure period",Vector,,"Not applicable",,,,,8,60,percentage,,,,,,,,,,,220,,,,,
9354," A. H. Nicholas, B. McCorkell (2014).  Evaluation of Metarhizium anisopliae for the control of Culicoides brevitarsis Kieffer (Diptera: Ceratopogonidae), the principal vector of bluetongue virus in Australia Journal of Vector Ecology, 39(#issue#),  213-218",tobias.lilja,,4,,,2,Australia,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,243,"Vector directly exposed",,"Insecticide treatment",,"Metarhizium anisopliae",,"OTHERS - fungi",,,,0.01,,gram,,,,1,,,,192,hours,"Metarhizium anisopliae ARI-Ma03 8 days continuous exposure period",Vector,,"Not applicable",,,,,8,60,percentage,,,,,,,,,,,243,,,,,
9354," A. H. Nicholas, B. McCorkell (2014).  Evaluation of Metarhizium anisopliae for the control of Culicoides brevitarsis Kieffer (Diptera: Ceratopogonidae), the principal vector of bluetongue virus in Australia Journal of Vector Ecology, 39(#issue#),  213-218",tobias.lilja,,4,,,3,Australia,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,289,"Vector directly exposed",,"Insecticide treatment",,"Metarhizium anisopliae",,"OTHERS - fungi",,,,0.01,,gram,,,,1,,,,192,hours,"Metarhizium anisopliae ARI-Ma04",Vector,,"Not applicable",,,,,8,40,percentage,,,,,,,,,,,289,,,,,
9354," A. H. Nicholas, B. McCorkell (2014).  Evaluation of Metarhizium anisopliae for the control of Culicoides brevitarsis Kieffer (Diptera: Ceratopogonidae), the principal vector of bluetongue virus in Australia Journal of Vector Ecology, 39(#issue#),  213-218",tobias.lilja,,4,,,4,Australia,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,330,"Vector directly exposed",,"Insecticide treatment",,"Metarhizium anisopliae",,"OTHERS - fungi",,,,0.01,,gram,,,,1,,,,192,hours,"Metarhizium anisopliae ARI-Ma06 8 days continuous exposure period",Vector,,"Not applicable",,,,,8,55,percentage,,,,,,,,,,,330,,,,,
9354," A. H. Nicholas, B. McCorkell (2014).  Evaluation of Metarhizium anisopliae for the control of Culicoides brevitarsis Kieffer (Diptera: Ceratopogonidae), the principal vector of bluetongue virus in Australia Journal of Vector Ecology, 39(#issue#),  213-218",tobias.lilja,,4,,,5,Australia,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,292,"Vector directly exposed",,"Insecticide treatment",,"No treatment",,CONTROL,,,,0.01,,gram,,,,1,,,,192,hours,"8 days continuous exposure period",Vector,,"Not applicable",,,,,8,7,percentage,,,,,,,,,,,292,,,,,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",tobias.lilja,,4,,1,1,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,375,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"larval mortality, Culex quinquefasciatus",,,3,100,percentage,,,48,hours,,,,,,,,,,"inverse of hatchability",,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",tobias.lilja,,4,,2,2,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,300,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"larval mortality, Aedes aegypti",,,3,100,percentage,,,48,hours,,,,,,,,,,"inverse of hatchability",,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",tobias.lilja,,4,,3,3,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,225,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"larval mortality, Anopheles stephensi",,,3,100,percentage,,,48,hours,,,,,,,,,,"inverse of hatchability",,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",Fernanda.dorea,,4,,1,1,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,115.13,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"larval mortality, Culex quinquefasciatus",,,3,50,percentage,,,48,hours,,,,,,,,,,"inverse of hatchability",,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",Fernanda.dorea,,4,,6,6,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,157.31,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"adult mortality, Anopheles stephensi",,,,100,percentage,,,24,hours,,,,,,,,,,,,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",Fernanda.dorea,,4,,6,6,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,290.95,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"adult mortality, Anopheles stephensi",,,,100,percentage,,,24,hours,,,,,,,,,,,,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",Fernanda.dorea,,4,,5,5,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,248.35,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"adult mortality, Aedes aegypti",,,,90,percentage,,,24,hours,,,,,,,,,,,,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",Fernanda.dorea,,4,,5,5,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,135.60,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"adult mortality, Aedes aegypti",,,,50,percentage,,,24,hours,,,,,,,,,,,,
9382," Marimuthu Govindarajan, Rajamohan Sivakumar (2014).  Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae) Parasitology Research, 113(#issue#),  1435-1449",Fernanda.dorea,,4,,4,4,India,2013,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"animal / individual",,6,"Vector directly exposed",,"Insecticide treatment",,"Asparagus racemosus root extract in methanol",,"OTHERS - plant (non-oil)",,,,120.44,,"ppm (parts per million)",,,,1,,,,24,hours,,,,"Not applicable",,"adult mortality, Culex quinquefasciatus",,,,50,percentage,,,24,hours,,,,,,,,,,,,
