"Refid","Bibliography","Author","Title","Abstract","Year","User","Level","agent
Causative agent of vector borne diseases","sampCountry
Country where study was performed","sampCountry
Country where study was performed_comment","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed_comment"
21," Taha HA, et al. 2015. ","H. A. Taha, S. A. Shoman and N. M. Alhadlag","Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA","The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.",2015,andrey.gogin,3,"Bluetongue virus","Saudi Arabia",,"Sheep (Ovis aries)",
21," Taha HA, et al. 2015. ","H. A. Taha, S. A. Shoman and N. M. Alhadlag","Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA","The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.",2015,andrey.gogin,3,"Schmallenberg virus","Saudi Arabia",,"Goat (Capra aegagrus hircus)",
21," Taha HA, et al. 2015. ","H. A. Taha, S. A. Shoman and N. M. Alhadlag","Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA","The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.",2015,andrey.gogin,3,"Schmallenberg virus","Saudi Arabia",,"Sheep (Ovis aries)",
23," Heinrich N, et al. 2015. ","N. Heinrich, C. D. Mangu, N. E. Ntinginya, G. Dobler, E. Saathoff, L. Maboko and M. Hoelscher","Rift Valley fever, Chikungunya and rickettsioses: synopsis of four seroprevalence studies on arthropod-borne diseases from South-Western Tanzania on geographic distribution and risk factors",,2015,andrey.gogin,3,"Rift Valley fever virus","Tanzania, United Republic of",,"Human (homo sapiens)",
42," Boushab BM, et al. 2015. ","B. M. Boushab, M. Savadogo, S. M. Sow and S. Soufiane","Survey of investigation around cases of Rift Valley Fever at Tagant, Mauritania","BACKGROUND: Rift Valley Fever (RVF) is a zoonotic arbovirosis. Among animals, it mainly affects ruminants, causing abortions in gravid females and deaths among young animals. In humans, RVF virus infection is usually asymptomatic or characterized by a moderate fever. However, in 1-3% of cases, the disease progresses to a severe form with 50% mortality. OBJECTIVE: Search for risk factors and to propose appropriate measures to prevent the potential for extension of the epidemic, and to make recommendations for disease monitoring and control. METHODS: This investigation involved human RVF cases reported between October12 and November20, 2012 in the area of Tagant in Mauritania. Arbovirosis diagnosis was established by the laboratory of the National Institute of Public Health Research in Nouakchott (Mauritania) in collaboration with the Pasteur Institute of Dakar (Senegal). RESULTS: Of 212subjects, RVF serology was positive in 26 (12%). Among those seropositive for RVF, 11 (42%) had severe hemorrhagic forms. The case fatality rate was 91%. A series of animal abortions (cattle, sheep and goats) was observed in the area where all but two subjects resided. Exposure to potential risk factors for RVF virus infection was found in all patients. CONCLUSION: Mortality is very high in the hemorrhagic forms of RVF. Disease prevention is necessary by strengthening the fight against vectors, avoiding contact and consumption of organic products from diseased animals and vaccination of animals in areas where the disease is endemic. Furthermore, it is essential to establish management procedures for patients infected with the RVF virus. An appropriately equipped referral hospital is necessary, together with strengthened epidemiological surveillance by notifying all suspected cases of hemorrhagic fevers.",2015,andrey.gogin,3,"Rift Valley fever virus",Mauritania,,"Human (homo sapiens)",
49," Andriamandimby SF, et al. 2015. ","S. F. Andriamandimby, C. Viarouge, J.-P. Ravalohery, J.-M. Reynes, C. Sailleau, M. L. Tantely, N. Elissa, E. Cardinale, A. A. Sall, S. Zientara and J.-M. Heraud","Detection in and circulation of Bluetongue virus among domestic ruminants in Madagascar","So far, no published data was available concerning the circulation of Bluetongue virus (BTV) in Madagascar. During a survey on Rift Valley Fever, we were able to detect a virus belonging to BTV. Therefore, we conducted a study aiming at characterizing molecularly the BTV isolated and assess the importance of circulation of BTV in Madagascar. A total of 4393 sera from ruminants selected randomly by stratification and sampled in 30 districts of Madagascar were tested for BTV. Moreover, 175 cattle were followed during 11 months. Phylogenetic analyses were performed from virus isolated from unfed pools of mosquitoes. Overall, the estimated mean seroprevalence of infection at the national level was 95.9% (95% CI: [95.2-96.5]) in cattle and 83.7% (95% CI: [81.4-85.9]) in small ruminants. Estimation of incidence rate was 54 per 100 cattle-years assuming that the incidence rate is constant all year along. Phylogenetic analyses revealed that BTV detected belong to serotype 2. In conclusion, our results showed that BTV is endemic in Madagascar and highly prevalent among cattle. In our study we did not work on the vector involved in transmission of BTV in cattle. Thus, research should be conducted to better describe epidemiology of BTV in Madagascar including vectors and assess economic impact of the disease associated to BTV infections. (C) 2015 Elsevier B.V. All rights reserved.",2015,andrey.gogin,3,"Bluetongue virus",Madagascar,,"Cattle (Bos taurus)",
49," Andriamandimby SF, et al. 2015. ","S. F. Andriamandimby, C. Viarouge, J.-P. Ravalohery, J.-M. Reynes, C. Sailleau, M. L. Tantely, N. Elissa, E. Cardinale, A. A. Sall, S. Zientara and J.-M. Heraud","Detection in and circulation of Bluetongue virus among domestic ruminants in Madagascar","So far, no published data was available concerning the circulation of Bluetongue virus (BTV) in Madagascar. During a survey on Rift Valley Fever, we were able to detect a virus belonging to BTV. Therefore, we conducted a study aiming at characterizing molecularly the BTV isolated and assess the importance of circulation of BTV in Madagascar. A total of 4393 sera from ruminants selected randomly by stratification and sampled in 30 districts of Madagascar were tested for BTV. Moreover, 175 cattle were followed during 11 months. Phylogenetic analyses were performed from virus isolated from unfed pools of mosquitoes. Overall, the estimated mean seroprevalence of infection at the national level was 95.9% (95% CI: [95.2-96.5]) in cattle and 83.7% (95% CI: [81.4-85.9]) in small ruminants. Estimation of incidence rate was 54 per 100 cattle-years assuming that the incidence rate is constant all year along. Phylogenetic analyses revealed that BTV detected belong to serotype 2. In conclusion, our results showed that BTV is endemic in Madagascar and highly prevalent among cattle. In our study we did not work on the vector involved in transmission of BTV in cattle. Thus, research should be conducted to better describe epidemiology of BTV in Madagascar including vectors and assess economic impact of the disease associated to BTV infections. (C) 2015 Elsevier B.V. All rights reserved.",2015,mia.holmberg,3,"Bluetongue virus",Madagascar,,"Sheep (Ovis aries)",
53," Memish ZA, et al. 2015. ","Z. A. Memish, M. A. Masri, B. D. Anderson, G. L. Heil, H. R. Merrill, S. U. Khan, A. Alsahly and G. C. Gray","Elevated Antibodies against Rift Valley Fever Virus among Humans with Exposure to Ruminants in Saudi Arabia","In 2000, an outbreak of Rift Valley fever virus (RVFV) occurred in the Kingdom of Saudi Arabia (KSA). Since then there have been sparse efforts to monitor for RVFV reemergence. During 2012, we enrolled 300 individuals with ruminant exposure and 50 age-group matched non-exposed controls in southwestern KSA, in a cross-sectional epidemiological study of RVFV. Sera from the participants were screened with an enzyme-linked immunosorbent assay (ELISA) for anti-RVFV IgG antibodies of which 39 (11.1%) were positive. Sixteen (41.0%) of those 39 were also positive by a plaque reduction neutralization assay (PRNT). The PRNT-positive subjects were further studied with an IgM ELISA and one was positive. No RVFV was detected in the 350 sera using real-time reverse transcription polymerase chain reaction. Contact with cattle (odds ratio [OR] = 3.16, 95% confidence interval [CI] 1.01, 9.90) and a history of chronic medical illness (OR = 6.41, 95% CI 1.75, 23.44) were associated with greater odds of RVFV seropositivity by PRNT. The IgM-positive participant was 36 years of age, and reported multiple risk factors for ruminant contact. Although these findings simply may be vestiges of the 2000 epidemic, KSA's frequent visits from pilgrims and importations of live animals from RVFV-endemic areas suggest that more comprehensive surveillance for imported RVFV virus in ruminants, mosquitoes, and travelers is imperative.",2015,andrey.gogin,3,"Rift Valley fever virus","Saudi Arabia",,"Human (homo sapiens)",
63," Sumaye RD, et al. 2015. ","R. D. Sumaye, E. N. Abatih, E. Thiry, M. Amuri, D. Berkvens and E. Geubbels","Inter-epidemic Acquisition of Rift Valley Fever Virus in Humans in Tanzania","Background In East Africa, epidemics of Rift Valley fever (RVF) occur in cycles of 5-15 years following unusually high rainfall. RVF transmission during inter-epidemic periods (IEP) generally passes undetected in absence of surveillance in mammalian hosts and vectors. We studied IEP transmission of RVF and evaluated the demographic, behavioural, occupational and spatial determinants of past RVF infection. Methodology Between March and August 2012 we collected blood samples, and administered a risk factor questionnaire among 606 inhabitants of 6 villages in the seasonally inundated Kilombero Valley, Tanzania. ELISA tests were used to detect RVFV IgM and IgG antibodies in serum samples. Risk factors were examined by mixed effects logistic regression. Findings RVF virus IgM antibodies, indicating recent RVFV acquisition, were detected in 16 participants, representing 2.6% overall and in 22.5% of inhibition ELISA positives (n = 71). Four of 16 (25.0%) IgM positives and 11/71 (15.5%) of individuals with inhibition ELISA sero-positivity reported they had had no previous contact with host animals. Sero-positivity on inhibition ELISA was 11.7%(95% CI 9.2-14.5) and risk was elevated with age (odds ratio (OR) 1.03 per year; 95% CI 1.01-1.04), among milkers (OR 2.19; 95% CI 1.23-3.91), and individuals eating raw meat (OR 4.17; 95% CI 1.18-14.66). Households keeping livestock had a higher probability of having members with evidence of past infection (OR = 3.04, 95% CI = 1.42-6.48) than those that do not keep livestock. Conclusion There is inter-epidemic acquisition of RVFV in Kilombero Valley inhabitants. In the wake of declining malaria incidence, these findings underscore the need for clinicians to consider RVF in the differential diagnosis for febrile illnesses. Several types of direct contact with livestock are important risk factors for past infection with RVFV in this study's population. However, at least part of RVFV transmission appears to have occurred through bites of infected mosquitoes.",2015,andrey.gogin,3,"Rift Valley fever virus","Tanzania, United Republic of",,"Human (homo sapiens)",
64," Muiruri S, et al. 2015. ","S. Muiruri, E. W. Kabiru, E. M. Muchiri, H. Hussein, F. Kagondu, A. D. LaBeaud and C. H. Kingt","Cross-Sectional Survey of Rift Valley Fever Virus Exposure in Bodhei Village Located in a Transitional Coastal Forest Habitat in Lamu County, Kenya","Few studies have focused on Rift Valley fever virus (RVFV) transmission in less arid, transitional landscapes surrounding known high-risk regions. The objective of this study was to identify evidence of RVFV exposure in Bodhei Village in a forested area at the edge of the RVFV-epidemic Garissa region. In a household cluster-based survey conducted between epidemics in early 2006, 211 participants were enrolled. Overall seroprevalence for anti-RVFV was high (18%) and comparable with rates in the more arid, dense brush regions farther north. Seroprevalence of adults was 28%, whereas that of children was significantly lower (3%; P < 0.001); the youngest positive child was age 3 years. Males were more likely to be seropositive than females (25% versus 11%; P < 0.01), and animal husbandry activities (birthing, sheltering, and butchering) were strongly associated with seropositivity. The results confirm that significant RVFV transmission occurs outside of recognized high-risk areas and independent of known epidemic periods.",2015,andrey.gogin,3,"Rift Valley fever virus",Kenya,,"Human (homo sapiens)",
65," Tigoi C, et al. 2015. ","C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang","Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya","Introduction: Arboviruses cause emerging and re-emerging infections affecting humans and animals. They are spread primarily by blood-sucking insects such as mosquitoes, ticks, midges, and sandflies. Changes in climate, ecology, demographic, land-use patterns, and increasing global travel have been linked to an upsurge in arboviral disease. Outbreaks occur periodically followed by persistent low-level circulation. Aim: This study was undertaken to determine the seroepidemiology of selected arboviruses among febrile patients in selected lake/river basins of Kenya. Methods: Using a hospital-based cross-sectional descriptive survey, febrile patients were recruited and their serum samples tested for exposure to immunoglobulin M (IgM) and IgG antibodies against Crimean-Congo hemorrhagic fever virus (CCHFV), Rift Valley fever virus (RVFV), West Nile virus (WNV), and chikungunya virus (CHIKV). Samples positive for CHIKV and WNV were further confirmed by the plaque reduction neutralization test (PRNT). Results: Of the 379 samples examined, 176 were IgG positive for at least one of these arboviruses (46.4%, 95% confidence interval [CI] 41.4-51.5%). Virus-specific prevalence for CCHF, RVF, WN, and CHIK was 25.6%, 19.5%, 12.4%, and 2.6%, respectively. These prevalences varied significantly with geographical site (p<0.001), with Tana recording the highest overall arboviral seropositivity. PRNT results for Alphaviruses confirmed that the actual viruses circulating in Baringo were Semliki Forest virus (SFV) and CHIKV, o'nyong nyong virus (ONNV) in Naivasha, and SFV and Sindbis virus (SINDV) in Tana delta. Among the flaviviruses tested, WNV was circulating in all the three sites. Conclusion: There is a high burden of febrile illness in humans due to CCHFV, RVFV, WNV, and CHIKV infection in the river/lake basin regions of Kenya.",2015,andrey.gogin,3,"Crimean-Congo haemorrhagic fever virus",Kenya,,"Human (homo sapiens)",
