"Refid","Bibliography","User","Ris Code","Level","DE_VBD_PREVALENCE_FINAL_k","studyID
Unique ID to link all observations from the same study or experiment","agent
Causative agent of vector borne diseases","agentSubtypeType","agentSubtypeType_comment","agentDetails
The further information given regarding the sutype type given above. ","sampCountry
Country where study was performed","sampCountry
Country where study was performed_comment","SampArea_text
Please provide the name of the sampled area.","Sampling context
reason for sampling, type of study, surveillance types","Sampling context
reason for sampling, type of study, surveillance types_comment","Reason for sampling
Free text to describe the reason for performing pathogen testing (e.g. serological survey, trade purposes), if not already clear from the study type","Disease situation / outbreak phase
Please report outbreak phase or any other information given regarding the disease situation in the area. ","sampY
Start year of study/outbreak
(-1 if not specified)","sampM
Start month of study/outbreak
(-1 if not specified)","duration
Duration of study/outbreak in months","analysisY
Year when the analysis was completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed_comment","sampPoint
Point in the food chain, where the samples were taken","sampPoint
Point in the food chain, where the samples were taken_comment","sampStrategy
Strategy used to select sample units for laboratory analysis","sampStrategy
Strategy used to select sample units for laboratory analysis_comment","Longitudinal/Repeated sampling?
if this is a longitudinal study, describe the scheme of sampling (for instance paired samples with 2 months interval). ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize","sampUnit
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize
Number of sampling units tested (sample size)","MinAgeMonths
Age of animals in months
(-1 if not specified)","MaxAgeMonths
Age of animals in months
(-1 if not specified)","sampledMatrix
Matrix sampled for testing","sampledMatrix
Matrix sampled for testing_comment","anMethCode
Laboratory test used","anMethCode
Laboratory test used_comment","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","sensitivity
Sensitivity of test","specificity
Specificity of test","nPositive
Number of animals positive","Were all cases confirmed to be IMPORTED (animals believed not to have been infected in the study area) -> YES, only IMPORTED cases","nNegative
Number of animals negative","Disease freedom
was this phrased as a disease freedom investigation?","Design prevalence
If given, in % (p.e. 2%). This is the minimum assumed prevalence of the disease in the region, if it was present.","prevalence (..%, e.g write 7, when the prevalence is 0.07 or 7%)
Reported prevalence in paper","LCI_PR
Lower Confidence interval-prevalence","UCI_PR
Upper confidence interval-prevalence","incidence
Reported incidence value","LCI_I
Lower confidence interval-incidence","UCI_I
Upper confidence interval-incidence","incidenceUnits
Units of reported incidence value","incidence Unit comments
Any further information on incidence units","R0
Basic reproduction number","Lower value of Ro range","Upper level of range or of Ro","impactMeasure
Description of the measure used / reported in the paper","impactValue
Value","impactUnit
Unit","impactUnit
Unit_comment","Clinical signs
If clinical signs were described, please list them here","Severity
If any measure of severity was described, please give an objective summary here","More info missed?
Are there more detailed information on the clinical progression, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on the type and duration of clinical signs? ","Risk factors - INCREASE RISK
if this was a study where risk factor were investigated, please list factors confirmed to be associated with increased disease risk","Risk factors - PROTECTIVE FACTOR
if this was a study where risk factor were investigated, please list factors confirmed to REDUCE disease risk","More info missed?
Are there more detailed information on risk factors, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on risk factors? ","Quality check and other notes
if relevant, please add any notes about information in the paper which you think is relevant but was not capured in the form.
Also add any notes about detected biases or other methodological flaws.","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer_comment"
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,35,24,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,23,,,,,65.7,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,21,72,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,10,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,2,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,41,24,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,26,,,,,63.4,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,2,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,86,48,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,55,,,,,63.9,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,2,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,20,72,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,16,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,3,"Bluetongue virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,35,72,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,25,,,,,71.4,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,1,"Bluetongue virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,47,48,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,31,,,,,65.9,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,3,"Bluetongue virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,21,72,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,13,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,4,"Bluetongue virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,41,24,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,24,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,4,"Bluetongue virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,86,48,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,59,,,,,68.6,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,4,"Bluetongue virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,20,72,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,13,,,,,65,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,5,"Schmallenberg virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,35,48,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,5,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,5,"Schmallenberg virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,47,48,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,3,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,5,"Schmallenberg virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,21,72,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,3,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,6,"Schmallenberg virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,41,24,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,1,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,5,"Schmallenberg virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,86,48,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,4,,,,,4.65,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,6,"Schmallenberg virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,20,72,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,7,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,35,72,,"Blood serum",,"Reverse-transcription PCR (RT-PCR)",,"Nucleic acid",,,,,4,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,7,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,47,48,,Blood,,"Reverse-transcription PCR (RT-PCR)",,"Nucleic acid",,,,,13,,,,,27.6,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,7,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Goat (Capra aegagrus hircus)",,Slaughterhouse,,"Objective (random) sampling",,,single,,21,72,,Blood,,"Reverse-transcription PCR (RT-PCR)",,"Nucleic acid",,,,,1,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,7,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,86,48,,Blood,,"Reverse-transcription PCR (RT-PCR)",,"Nucleic acid",,,,,7,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,
21,"H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523",andrey.gogin,,3,,7,"Rift Valley fever virus",,,,"Saudi Arabia",,Almadinah,"Surveillance active (active search for cases)",,,,2015,,,,"Sheep (Ovis aries)",,Slaughterhouse,,"Objective (random) sampling",,,single,,20,72,,Blood,,"Reverse-transcription PCR (RT-PCR)",,"Nucleic acid",,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
