"Refid","Bibliography","Author","Title","Abstract","Year","User","Level","agent
Causative agent of vector borne diseases","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC"""
11362," Trout RT, et al. 2007."," R. T. Trout, G. C. Brown, M. F. Potter, J. L. Hubbard","Efficacy of two pyrethroid insecticides applied as barrier treatments for managing mosquito (Diptera : Culicidae) populations in suburban residential properties","Increased threat of mosquito-borne disease coupled with decreased tolerance of nuisance mosquitoes has opened a market for pest management professionals to offer mosquito control services for homeowners. A pest management professional applied bifenthrin (0.08%) and lambdacyhalothrin (0.1%) at their maximum label concentrations as barrier treatments. We tested treatments residual efficacy in reducing adult mosquito populations and compared these chemicals against a water control at 24 residential properties (eight replications by three treatments). Mosquito populations were measured on each property by using five methods: CO2-baited Centers for Disease Control (CDC) light traps (without a light), human landing rates, CDC gravid traps, ovitraps, and sweep nets. Populations were monitored weekly for 2 wk before treatment and 8 wk posttreatment. Additionally, to confirm residual efficacy of each insecticide, a randomly treated leaf underwent a no-choice bioassay with laboratory-reared Aedes albopictus (Skuse). Trap collections were dominantly Aedes albopictus and Culex pipiens L. Both insecticidal treatments significantly reduced Aedes spp. lambda-Cyhalothrin- and bifenthrin-treated sites had 89.5 and 85.1% fewer Ae. albopictus bites than the untreated control, respectively. Ae. albopictus bioassay results showed significant residual efficacy for both insecticides up to 6 wk posttreatment. There were no significant differences between properties treated with the two insecticides. In contrast, Culex spp. were not reduced by either insecticidal treatment. Our study indicated that barrier sprays applied to low-lying vegetation do not properly target adult daytime resting sites for Culex mosquitoes but that they can reduce Aedes mosquitoes. Perhaps by treating upper tree canopies Culex spp. abundance may be reduced.",2007,thomas.rosendal,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
11362," Trout RT, et al. 2007."," R. T. Trout, G. C. Brown, M. F. Potter, J. L. Hubbard","Efficacy of two pyrethroid insecticides applied as barrier treatments for managing mosquito (Diptera : Culicidae) populations in suburban residential properties","Increased threat of mosquito-borne disease coupled with decreased tolerance of nuisance mosquitoes has opened a market for pest management professionals to offer mosquito control services for homeowners. A pest management professional applied bifenthrin (0.08%) and lambdacyhalothrin (0.1%) at their maximum label concentrations as barrier treatments. We tested treatments residual efficacy in reducing adult mosquito populations and compared these chemicals against a water control at 24 residential properties (eight replications by three treatments). Mosquito populations were measured on each property by using five methods: CO2-baited Centers for Disease Control (CDC) light traps (without a light), human landing rates, CDC gravid traps, ovitraps, and sweep nets. Populations were monitored weekly for 2 wk before treatment and 8 wk posttreatment. Additionally, to confirm residual efficacy of each insecticide, a randomly treated leaf underwent a no-choice bioassay with laboratory-reared Aedes albopictus (Skuse). Trap collections were dominantly Aedes albopictus and Culex pipiens L. Both insecticidal treatments significantly reduced Aedes spp. lambda-Cyhalothrin- and bifenthrin-treated sites had 89.5 and 85.1% fewer Ae. albopictus bites than the untreated control, respectively. Ae. albopictus bioassay results showed significant residual efficacy for both insecticides up to 6 wk posttreatment. There were no significant differences between properties treated with the two insecticides. In contrast, Culex spp. were not reduced by either insecticidal treatment. Our study indicated that barrier sprays applied to low-lying vegetation do not properly target adult daytime resting sites for Culex mosquitoes but that they can reduce Aedes mosquitoes. Perhaps by treating upper tree canopies Culex spp. abundance may be reduced.",2007,thomas.rosendal,4,"Not applicable (vector study)",Humans
11381," Guadalupe Miro, et al. 2007."," Guadalupe Miro, Rosa Galvez, Marta Mateo, Ana Montoya, Miguel Angel Descalzo, Ricardo Molina","Evaluation of the efficacy of a topically administered combination of imidacloprid and permethrin against Phlebotomus perniciosus in dog","The phlebotomine sand fly Phlebotomus perniciosus is one of the main vectors of Leishmania infantum, responsible for human and canine leishmaniasis in the Mediterranean Basin. The objective of this study was to evaluate the repellent and insecticidal efficacy A imidacloprid 10% (w/v)/permethrin 50% (w/v) spot-on against sand flies (P perniciosus) on dogs. The dogs used in this trial were laboratory-bred beagles: eight were impregnated with the solution (treated group), while the other eight were left untreated (control group). On day 0 the animals in the treatment group received 0.1 ml/kg body weight of the combination imidacloprid/permethrin spot-on. Dogs were exposed for I h to about 100 female sand flies at weekly intervals for a period of 4 weeks, on day 1, 7, 14, 2 1, and 28 after applying the product. The repellency criterion was based on the feeding rate of sand flies in the treated compared to the untreated group. The insecticidal efficacy criterion was based on comparison of the survival rate of sand flies between the two groups. The product had an insecticidal efficacy on female sand flies of 53.2% (day 1), 49.4% (day 7), 15.1% (day 14) 13.2% (day 22), and 2.9% (day 29). The product showed a repellent effect of 97.7% (day 1), 96.3% (day 7), 96.5% (day 14), 92.7% (day 22), and 74.0% (day 29). Within the first week of application the insecticidal effect was significant; however it did not surpass 50%. On the other hand, the product showed a potent anti-feeding effect of over 90% during the first 3 weeks of this trial. Therefore the application of this product every 3 weeks would be a good tool to significantly reduce sand fly bites over the period of transmission of vectorial diseases such as leishmaniasis and several arbovirosis such as Toscana virus. (c) 2006 Elsevier B.V. All rights reserved.",2007,ann.lindberg,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
11531," Molina R, et al. 2006."," R. Molina, G. Miro, R. Galvez, J. Nieto, M. A. Descalzo","Evaluation of a spray of permethrin and pyriproxyfen for the protection of dogs against Phlebotomus perniciosus","Dogs are the main domestic reservoir of Leishmania infantum in the old World (Leishmania chagasi in the New World) a parasite responsible for many cases of human visceral leishmaniasis in both endemic and non-endemic regions. One strategy for the control of leishmaniasis would be to prevent dogs from being bitten by sandflies, the vector of leishmaniasis. This study was designed to assess the efficacy of spraying a combination of permethrin and pyriproxyfen on to dogs artificially exposed to sandflies. Two groups of four male dogs, one of them treated and the other left untreated as controls, were exposed for one hour to 100 female sandflies seven days before the treatment, on the day of treatment and seven, 14, 21, and 28 days later. After each exposure, sandflies were collected, counted and scored. The prevention of sandfly bite was calculated by measuring the number of fed sandflies (dead and alive) after treatment. In this experimental assay, the repellent effect of the treatment against sandfly bites after 21 days was 71.4 per cent, but the insecticidal effect was only 7.2 per cent.",2006,thomas.rosendal,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
11774," Raval-Nelson P, et al. 2005."," P. Raval-Nelson, K. Soin, S. Tolerud","Analysis of Bacillus sphaericus in controlling mosquito populations in urban catch basins","The West Nile virus (WNV) is a Tosquito-borne infection that can be fatal to humans, equines, and avians, among others. WNV was first introduced to the United States in 1999 and is rapidly spreading across the country. Urban Catch basins are thought to be prime breeding sites for mosquitoes, especially those identified as WNV carriers. The pilot study reported here was conducted in a city in southeaster Pennsylvania where there are 70,000 catch basins. The purpose of the study was 1) to determine whether catch.basins are breeding sites for mosquitoes and 2) to test the effectiveness of a larvicide that use's a, bacteria,Bacillus sphaencus, to eliminate mosquitoes in urban catch basins. The two-pronged study determined. that catch basins are ideal locations for mosquitoes, especially Culex pipiens, and that B. sphaericus is an effective larvicide.",2005,tobias.lilja,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
12670," KillickKendrick R, et al. 1997."," R. KillickKendrick, M. KillickKendrick, C. Focheux, J. Dereure, M. P. Puech, M. C. Cadiergues","Protection of dogs from bites of phlebotomine sandflies by deltamethrin collars for control of canine leishmaniasis","Dog collars made of PVC plastic impregnated with the pyrethroid insecticide deltamethrin at 30 mg/g were investigated for their protective efficacy against phlebotomine sandflies. Collared dogs were kept separately (two untreated control dogs lived together) in outdoor enclosures, each with a kennel, in the Cevennes, southern France. To measure sandfly mortality and anti-feeding effects due to the deltamethrin-impregnated collars worn continuously by the dogs for up to 8 months? each dog was periodically sedated and exposed for 2h to 150-200 laboratory-reared Phlebotomus perniciosus females (plus c. 25 males) inside a net (1.2m square, 1.8m high) indoors. After dogs were removed from the nets, allowed to recover and returned to their kennels, any dead sandflies were collected from inside the net and counted. Surviving flies were kept overnight, then scored according to whether they were still alive or dead, unfed or blood-fed. From tests 2, 3, 4, 13, 20, 26 and 34 weeks after the dogs began wearing collars, the overall numbers of blood-fed female sandflies recaptured were 75 from two dogs with collars, compared with 1911 from two collarless dogs. Thus, for every 100 flies which fed on collarless dogs, only 4 fed on collared dogs, i.e. the collars protected dogs from 96% of the bites and this activity was maintained for up to 34 weeks. During the same period, the percentage of recaptured female sandflies that had fed on collared dogs was 0-12% compared to 55-95% on collarless dogs. Immediately after dogs were taken out of the nets, 21-60% of flies confined with the collared dogs were found dead, compared to 0-12% with the controls. It is concluded that, at least in the Mediterranean subregion, this insecticidal collar would protect a dog from the majority of sandfly bites and retain a killing effect for a complete sandfly season. Moreover, it seems likely that the use of collars on all dogs in a focus of Leishmania infantum would reduce contact between sandfly vectors and canine reservoir hosts sufficiently to diminish the risk of infection for humans as well as dogs.",1997,ann.lindberg,4,"Leishmania infantum","Dog (Canis lupus familiaris)"
13199," Mani TR, et al. 1991."," T. R. Mani, R. Reuben, J. Akiyama","Field efficacy of ""Mosbar"" mosquito repellent soap against vectors of bancroftian filariasis and Japanese encephalitis in southern India","Deet-permethrin ""Mosbar"" soap was field tested for repellency against mosquitoes by volunteers in urban and rural localities in southern India. Eighty-nine to 100% reduction in man-vector contact was recorded for 8 mosquito species, including Culex quinquefasciatus and recognized vectors of Japanese encephalitis. The soap was highly acceptable to the community.",1991,ann.lindberg,4,"Japanese encephalitis virus",Humans
13224," Sundararaj R, et al. 1991."," R. Sundararaj, R. Reuben","Evaluation of a microgel droplet formulation of Bacillus sphaericus 1593 M (Biocide-S) for control of mosquito larvae in rice fields in southern India","A new microgel droplet formulation of Bacillus sphaericus 1593 M (Biocide-S) was tested at 2 rates against culicine vectors of Japanese encephalitis and Anopheles subpictus. A single application just after transplantation of rice seedlings prevented the buildup of anopheline as well as culicine populations, and gave 83-100% reduction of pupal density at the lower rate (2.2 kg/ha) and 87-100% reduction at the higher dosage (4.3 kg/ha) for at least 5 weeks. During the last 3 wk before harvest, density was naturally very low and the efficacy of the treatment could not be assessed. This formulation has a potential for control of riceland mosquitoes, but a suitable delivery system is required before it can be considered for practical control.",1991,ann.lindberg,4,"Japanese encephalitis virus","NOT HOST SPECIFIC"
13408," Soll MD, et al. 1987."," M. D. Soll, I. H. Carmichael, S. J. Gross","Control of induced infestations of adult Amblyomma hebraeum with sustained release ivermectin","The efficacy of ivermectin, administered in a sustained release formulation by intraruminal pumps at approximate daily dose rates of 20, 40 and 60 micrograms/kg, was evaluated in 16 cattle against induced infestations of 3 strains of adult Amblyomma hebraeum. Engorged female ticks were mass-measured and incubated, and reproductive data recorded. There was an increase in mortality of male and female ticks compared to that of controls with increasing daily dose of ivermectin, and a decrease in the number of ticks engorging. Ticks fed on ivermectin-treated cattle had a smaller mass when engorged and laid smaller egg masses, both absolutely and as a proportion of engorged mass. Index of reproduction was reduced 100% at 60 micrograms/kg/day, greater than 99% at 40 micrograms/kg/day and 96% at 20 micrograms/kg/day. Differences occurred between the 3 strains of A. hebraeum used in the study, especially with regard to engorged mass and reproductive variables. Practical implications of the application of sustained release ivermectin for the control of A. hebraeum, specifically with reference to heartwater (Cowdria ruminantium), are discussed.",1987,thomas.rosendal,4,"Not applicable (vector study)","Cattle (Bos taurus)"
13717," Kappus KD, et al. 1967."," K. D. Kappus, E. C. Corristan","Effect of apholate and metepa on Aedes aegypti infected with Venezuelan equine encephalomyelitis virus",,1967,ann.lindberg,4,"Venezuelan equine encephalitis virus","NOT HOST SPECIFIC"
13947," Six RobertH, et al. 2016."," Robert H. Six, David R. Young, Melanie R. Myers, Sean P. Mahabir","Comparative speed of kill of sarolaner (Simparica (TM)) and afoxolaner (NexGard (R)) against induced infestations of Ixodes scapularis on dogs","Background: The black-legged (or deer) tick, Ixodes scapularis, commonly infests dogs and cats in North America and is the main vector for the pathogen that causes Lyme disease in dogs and humans. The speed of kill of a parasiticide is critical to minimize the direct and deleterious effects of tick infestation and especially to reduce the risk of tick-borne pathogen transmission. In this study, speed of kill of a novel orally administered isoxazoline parasiticide, sarolaner chewable tablets (Simparica (TM)), against I. scapularis on dogs was evaluated and compared with afoxolaner (NexGard (R)) for five weeks after a single oral dose. Methods: Twenty four dogs were randomly allocated to treatment with either placebo, sarolaner (2 to 4 mg/kg), or afoxolaner (2.5 to 6.8 mg/kg) based on pretreatment tick counts. Dogs were examined and live ticks counted at 8, 12, and 24 h after treatment and subsequent re-infestations on Days 7, 14, 21, 28 and 35. Efficacy was determined at each time point relative to counts for placebo dogs. Results: A single oral dose of sarolaner provided >99 % efficacy within 24 h of treatment and >95 % against subsequent weekly re-infestations of ticks consistently to Day 35. For the earlier time points, sarolaner significantly reduced tick counts versus placebo from Day 0 to Day 21 at 8 and 12 h, and on Day 35 at 12 h (P <= 0.0174), while afoxolaner was only significantly lower at 8 h on Days 0 and 14 (P <= 0.0309), and at 12 h on Day 0 only (P < 0.0001). Significantly more live ticks were recovered from a foxolaner-treated dogs than from sarolaner-treated dogs at 24 h after infestation from Day 14 to Day 35 (P <= 0.0278). At 24 h, efficacy (based on geometric mean counts) of afoxolaner declined to less than 80 % from Day 21 through the end of the study, while efficacy for sarolaner was >95 % for 35 days. There were no adverse reactions to treatments. Conclusions: In this controlled laboratory evaluation, sarolaner had a faster speed of kill against I. scapularis than afoxolaner. This was noticeably more pronounced towards the end of the monthly treatment period. The rapid and consistent kill of ticks provided by sarolaner within 24 h after a single oral dose and re-infestation over 35 days suggests this treatment will provide highly effective and reliable control of ticks over the entire treatment interval, and should reduce the risk of tick-borne diseases, including Lyme disease whose agent is vectored by I. scapularis.",2016,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
13949," Frederic Beugnet, et al. 2016."," Frederic Beugnet, Lenaig Halos, Julian Liebenberg, Josephus Fourie","Assessment of the prophylactic speed of kill of Frontline Tri-Act (R) against ticks (Ixodes ricinus and Rhipicephalus sanguineus) on dogs","The objective of the study was to assess the speed of kill of a single topical treatment with a combination of fipronil and permethrin (Frontline Tri-Act (R)/Frontect (R)) against experimental infestations of Ixodes ricinus and Rhipicephalus sanguineus ticks on dogs. In this parallel group designed, randomised, single centre, controlled efficacy study, 16 healthy adult dogs were allocated to two groups: 8 dogs were treated with the topical combination on Day 0 and the other 8 dogs served as untreated controls. Each dog was exposed in a crate to 100 I. ricinus (50 females, 50 males) and 50 R. sanguineus (25 males, 25 females) on Days 2, 7, 14, 21 and 28. Ticks were counted in situ at 6 and 12 h after exposure and removed at 24 h after exposure. Frontline Tri-Act (R) was effective (>= 90%) against both R. sanguineus and I. ricinus tick infestations at 6, 12 and 24 h after exposure, from 2 to 28 days after treatment. This is the first time that a topical ectoparasiticide has demonstrated a preventive killing effect against these two tick species in 6 h for a full month.",2016,ann.lindberg,4,"Hepatozoon canis","Dog (Canis lupus familiaris)"
13953," Pascal Dumont, et al. 2015."," Pascal Dumont, Julian Liebenberg, Frederic Beugnet, Becky Fankhauser","Repellency and acaricidal efficacy of a new combination of fipronil and permethrin against Ixodes ricinus and Rhipicephalus sanguineus ticks on dogs","Background: A blinded, controlled laboratory study was conducted to assess the repellency and acaricidal activity of a topical spot on formulation, a combination of fipronil and permethrin, against Ixodes ricinus and Rhipicephalus sanguineus ticks on dogs. Methods: A group of 16 adult mixed breed dogs were randomly divided into treatment and control groups based on pre-treatment live tick counts. On Day 0, the topical spot on formulation of fipronil + permethrin (commercialized under the name Frontline Tri-Act (R)/Frontect (R)) was administered to dogs in the treatment group at the minimum recommended dose of 0.1 mL/kg, corresponding to 6.76 mg fipronil/kg and 50.48 mg/kg permethrin. Tick infestations were performed with I. ricinus (50 females, 50 males) and R. sanguineus (25 females, 25 males) on each dog on Days 2, 7, 14, 21, and 28. Dogs were sedated prior to exposure and confined to crates for approximately 4 h following tick challenge. Ticks were released next to the sedated dogs and tick counts were performed at 4 h and 24 h after the start of exposure for tick counts and removal. Results: Repellency at 4 h against I. ricinus was 72.6, 96.3, 92.8, 89.0, and 88.7 % on Days 2, 7, 14, 21, and 28, respectively. Repellency was 100 % 24 h after exposures on Days 2, 7, and 14 and 99.6 % after exposures on Days 21 and 28. For R. sanguineus, repellency at 4 h was 78.0, 96.8, 91.5, 88.0, and 56.8 % on Days 2, 7, 14, 21, and 28, respectively. Repellency at 24 h was 98.6, 100, 98.7, 96.1, and 95.1 % for exposures on Days 2, 7, 14, 21, and 28, respectively. For I. ricinus, acaricidal efficacy recorded at 4 h was >= 91.1 % during the full month and was >= 99.5 % for the full month when counted at 24 h. Acaricidal efficacy against R. sanguineus was >= 94.7 % at 4 h from Day 2 to Day 21 and was 71.4 % on Day 28. Acaricidal efficacy at 24 h, was > 97.7 % during the month. Tick counts were statistically significantly reduced in treated dogs at all time-points during the study. Conclusions: A combination of fipronil and permethrin was highly effective at rapidly repelling and killing both I. ricinus and R. sanguineus ticks on dogs for at least 4 weeks, with a significant effect at 4 and 24 h after tick exposure.",2015,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
13955," Poche RichardM, et al. 2015."," Richard M. Poche, Dylan Burruss, Larisa Polyakova, David M. Poche, Rajesh B. Garlapati","Treatment of livestock with systemic insecticides for control of Anopheles arabiensis in western Kenya","Background: Despite the implementation of vector control strategies, including insecticide-treated bed nets (ITN) and indoor residual spraying (IRS) in western Kenya, this area still experiences high level of malaria transmission. Novel vector control tools are required which target such vector species, such as Anopheles arabiensis, that feed outdoors and have minimal contact with ITNs and IRS. Methods: To address this need, ivermectin, eprinomectin, and fipronil were evaluated in Zebu cattle under semi-field conditions to evaluate the potential of these compounds to reduce the survival of blood feeding An. arabiensis. Over the course of four experiments, lactating cattle received doses of oral ivermectin at 0.1 or 0.2 mg/kg, oral eprinomectin at 0.2 or 0.5 mg/kg, topical eprinomectin at 0.5, 0.75, or 1.5 mg/kg, or oral fipronil at 0.25, 0.5, 1.0, or 1.5 mg/kg. On days 1, 3, 5, 7, 14, and 21 days post-treatment, cattle were exposed to An. arabiensis, and mosquito mortality post-blood feeding was monitored. For the analysis of survival data, the Kaplan-Meier estimator and Mantel-Haenszel test was used to contrast the treatment and control survival functions. Results: All three compounds significantly reduced the survival time of An. arabiensis. Twenty-one days post-treatment, mortality of mosquitoes fed on cattle dosed orally with 0.2 or 0.5 mg/kg eprinomectin, topically with eprinomectin at 0.5 mg/kg, or orally with either 1.0 or 1.5 mg/kg fipronil was still significantly higher than control mortality. Conclusions: These data demonstrate the effectiveness of three insecticidal compounds administered systemically to cattle for controlling the cattle-feeding mosquito An. arabiensis. Eprinomectin and fipronil provided the longest-lasting control. Such endectocidal treatments in cattle are a promising new strategy for control of residual, outdoor malaria transmission and could effectively augment current interventions which target more endophilic vector species.",2015,ann.lindberg,4,"Not applicable (vector study)","Zebu (Bos indicus)"
13956," Franc M, et al. 2015."," M. Franc, E. Lienard, P. Jacquiet, S. Bonneau, C. Navarro, E. Bouhsira","Efficacy of a new combination of fipronil and permethrin (Effitix (R)) against Phlebotomus perniciosus in dogs","Two controlled clinical trials were carried out to assess the anti-feeding and adulticidal effects of a spoton combining fipronil and permethrin (Effitix (R), Virbac, Carros, France) against Phlebotomus perniciosus in dogs. The first study (Exp. A) was a dose-determination study in which 3 doses of permethrin (30 mg/kg, 60 mg/kg and 120 mg/kg) were compared. The second study (Exp. B) was an efficacy study using commercial dose of permethrin contained in Effitix (R) (the minimum dose of permethrin applied to dogs was 60 mg/kg). Twenty four and twelve Beagle dogs with equal sensitivity to sandflies were included in Exp. A and in Exp. B, respectively. Dogs were challenged with female sandflies (50 per dogs in Exp. A and 80 in Exp. B) for 60 +/- 5 min on Days - 7, 1, 7, 14,21 and 28 (Day 0 being treatment day). Counts and engorgement determination of dead and alive sandflies were performed after each exposure to treated and untreated dogs. Dead sandflies were also counted 24 h after exposure. In Exp. A, the repellency induced by an administration of 30 mg/kg of permethrin to dogs was above 91% for the first two weeks and then dropped to 82.2, 83.1 and 81.1% on Days 14,21 and 28, respectively. For dogs receiving 60 mg/kg of permethrin, the repellency was a bit higher with 95.8, 97.6, 92.1, 91.4, and 86.8%, for Days 1, 7, 14,21 and 28, respectively. The repellency induced by 120 mg/kg of permethrin was significantly higher than that induced by 60 mg/kg of permethrin on Day 14 only. In Exp. B the anti-feeding effect of the spot-on formulation was 94.1, 97.8, 96.3, 90.8 and 87% on Days 1, 7, 14, 21 and 28, respectively. The mortality effect was 98.9, 99.1, 99.8, 97.0 and 89.7% on Days 1, 7, 14, 21 and 28, respectively. At each challenge point, the mortality and anti-feeding effects on sandflies were significantly different between control and treatment group (p < 0.05). The results indicate that a monthly administration of this new combination of permethrin and fipronil could be used as an effective sandfly control strategy in dogs and therefore recommended for use in an integrated leishmaniosis prevention program. (C) 2015 The Authors. Published by Elsevier B.V.",2015,ann.lindberg,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
13959," Fourie JosephusJ, et al. 2015."," Josephus J. Fourie, Ivan G. Horak, Christa de Vos, Katrin Deuster, Bettina Schunack","Comparative Speed of Kill, Repellent (anti-feeding) and Acaricidal Efficacy of an Imidacloprid/Flumethrin Collar (Seresto (R)) and a Fipronil/(S)-Methoprene/Eprinomectin/Praziquantel Spot-on (Broadline (R)) against Ixodes ricinus (Linne, 1758) on Cats","Speed of kill, repellent (anti-feeding) and acaricidal efficacy of an imidacloprid 10 % (w/w) /flumethrin 4.5 % (w/w) collar (Seresto (R), Bayer) and a spot-on formulation of fipronil 8.3 % (w/v) /(S)-methoprene 10 % (w/v) /eprinomectin 0.4 % (w/v) /praziquantel 8.3 % (w/v) (Broadline (R), Merial) against artificially-induced infestations with Ixodes ricinus on cats, were assessed in a parallel group design, randomised, controlled study. Twenty-four cats were included and randomly allocated to treatment groups or a non-treated control group. Starting on Day (D) 7 after treatment until D28, cats were each infested with 50 I. ricinus at weekly intervals. Ticks were counted in situ on the cats at 6, 12 and 24 h and upon removal 48 h after each infestation. Based on arithmetic means, Seresto (R) proved to be 100 % effective against adult I. ricinus at all assessment times (6, 12, 24 and 48 h after infestation) throughout the month-long study. Broadline (R) was 0 % to 16.7 % effective at 6 h, 26.8 % to 50.0 % effective at 12 h, while at 24 h after infestation efficacy peaked at 81.5 % on D15 declining to 31.5 % on D29. Based on the 48 h tick counts, the efficacy of Broadline (R) peaked at 100 % on D16 after treatment and decreased to 83.2 % by D30. The Seresto (R) collar provided significantly faster speed of kill and better persistent acaricidal effectiveness against Ixodes ricinus on cats compared to Broadline (R) spot-on. The additional repellent (anti-feeding) effect of Seresto (R) prevents parasites from taking a blood meal and thereby reduces the risk of vector-borne disease pathogen transmission.",2015,ann.lindberg,4,"Not applicable (vector study)","Cat (Felis catus)"
13961," Ohmes CameonM, et al. 2015."," Cameon M. Ohmes, Joe Hostetler, Wendell L. Davis, Terry Settje, Amy McMinn, William R. Everett","Comparative Efficacy of an Imidacloprid/Flumethrin Collar (Seresto (R)) and an Oral Fluralaner Chewable Tablet (Bravecto (R)) against Tick (Dermacentor variabilis and Amblyomma americanum) Infestations on Dogs: a Randomised Controlled Trial","This controlled laboratory study demonstrated the residual speed of efficacy of an imidacloprid/flumethrin collar (Seresto (R), Bayer) for the control of ticks (Dermacentor variabilis, Amblyomma americanum) at 6 and 12 hours post-infestation on dogs when compared to oral fluralaner (Bravecto (R), Merck). Dogs were randomised by pre-treatment tick counts: Group 1) imidacloprid 10 % (w/w)/flumethrin 4.5 % (w/w) collar, 2) fluralaner (dosage 25.1-49.4 mg/kg), and 3) non-treated controls. Ticks (50/species/dog) were infested on days 3, 14, 21, 28, 42, and 56 followed by 50 D. variabilis on days 70 and 84. Live and dead attached ticks were counted 6 and 12 hours later. Efficacy against both species at 6 and 12 hours for Group 1 was 94-100 %. Efficacy for Group 2 against both species at 6 hours was 4-69 %; efficacy at 12 hours was 8-100 %. Live (attached and non-attached) tick counts at 6 hours in Group 1 were significantly lower (p <= 0.05) than counts in Group 2 and 3 on all days. At 12 hours, live counts were significantly lower (p <= 0.05) in Group 1 than Group 2 for D. variabilis from days 56-84 and for A. americanum from days 28-56. There were significantly fewer (p <= 0.05) total ticks (total live and dead attached) on dogs in Group 1 compared to Group 2 and 3 at all time points. This study demonstrated that an imidacloprid/flumethrin collar was highly efficacious (94-100 %) at repelling and killing ticks on dogs at 6 and 12 hours post-infestation and was more efficacious than fluralaner as early as 6 hours post-infestation on all challenge days.",2015,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
13965," Doug Carithers, et al. 2015."," Doug Carithers, William Russell Everett, Sheila J. Gross, Ruchika Solanki","Efficacy of a proprietary formulation of fipronil/(S)-methoprene/cyphenothrin against Ixodes scapularis tick infestations on dogs","Background: Efficacy of FRONTLINE (R) TRITAK (R) For Dogs (fipronil/(S)-methoprene/cyphenothrin, Merial, Inc., Duluth, GA) against Ixodes scapularis was evaluated in two separate, but concurrent laboratory studies. Methods: One day after topical treatment with placebo or active, dogs (n = 24) were infested with 50 unfed adult Ixodes scapularis ticks, with repeat infestations on Days 7, 14, 21 and 28. The number of live ticks was counted at 6 hours post-infestation in the first study (n = 12) and at 24 hours post-infestation in the second study (n = 12). Results: Observed efficacies in study 1 were 93-99 % at 6 hour assessments on Day 1 through Day 28 and in the second study, 98-100 % at 24 hour assessments, occurring on Day 2 through Day 29. Conclusions: A single dose of FRONTLINE (R) TRITAK (R) For Dogs (fipronil/(S)-methoprene/cyphenothrin) (0.67 ml or 1.34 ml) prevented the establishment of a new infestation following treatment, as well as the repeated weekly re-infestations with Ixodes scapularis ticks, for 4 weeks.",2015,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
13970," Michel Franc, et al. 2015."," Michel Franc, Emmanuel Lienard, Philippe Jacquiet, Stephane Bonneau, Emilie Bouhsira","Efficacy of fipronil combined with permethrin commercial spot on (EffitixA (R)) preventing Culex pipiens from feeding on dogs","A controlled clinical trial was carried out to assess the adulticidal and anti-feeding effectiveness of a spot-on combining fipronil and permethrin (EffitixA (R), Virbac, Carros, France) in preventing Culex pipiens from feeding on dogs. Twelve dogs with equal sensitivity to mosquitoes were included in the study and divided into two groups of six dogs: an untreated control group and a group treated with EffitixA (R). All dogs were challenged with 80 females C. pipiens for 90 A +/- 5 min on days -7, 1, 7, 14, 21, and 28 (day 0 being treatment day). The number of engorged, dead, and live mosquitoes was determined after each exposure to treated and untreated dogs. Dead mosquitoes were also counted 24 h after exposure. The anti-feeding effect of the spot-on formulation was 100, 99.5, 97.7, 98.3, and 96.7 % on days 1, 7, 14, 21, and 28, respectively. The mortality effect was 66.6, 55.9, 38, 17.2, and 12.3 % on days 1, 7, 14, 21, and 28, respectively. At each challenge point, the mortality and anti-feeding effects on mosquitoes were significantly different between the control and treated group (p < 0.05). The results indicate that a combination of permethrin and fipronil could be used as an effective mosquito control strategy in dogs and is therefore recommended for use in a dirofilariasis prevention program.",2015,ann.lindberg,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
